,d40_baseline,d40_vol_scaled,d40_resid_250d,d40_deep_only,d40_bounce_conf,d40_low_vol_surrender,p_top1_conviction,p_top3_diversified
2022-10-14,0.039745204696793615,0.039745204696793615,0.012660275778105134,0.040078538030126946,0.020155748754831206,0.02120618828851687,0.01868911917098448,0.054378626797084786
2022-10-17,0.018055404040725177,0.018055404040725177,0.003818773938809731,0.007784002238348112,-0.0013268448620619893,0.000989461096523684,0.021437578814627933,0.009964686881507756
2022-10-18,-0.008117226864932176,-0.008117226864932176,-0.0002650743889332321,-0.0014818591912974704,0.0039666561104672775,0.0020801369840559207,-0.00987654320987652,-0.0030758872156730894
2022-10-19,-0.005012240922465364,-0.005012240922465364,-0.0047137619591390845,-0.0018039970733263095,9.560136852659884e-05,-0.00785879586061522,-0.006234413965087282,-0.0025735978429270627
2022-10-20,0.024004707631112582,0.024004707631112582,0.0029897153162589465,0.010148600585893395,-0.016349032777518757,-0.011199408030396096,0.052697616060225716,0.011158554546550715
2022-10-21,-0.009268591141976423,-0.009268591141976423,-0.008929530260342747,-0.011470549764205584,-0.00826437816281315,-0.008223158801164827,-0.017878426698450522,-0.0072406238753037755
2022-10-24,-0.0022891279786846352,-0.0022891279786846352,-0.0066656299908779415,-0.00802224881322533,-0.012162792811615326,-0.015237913216571974,0.0024271844660195274,-0.006763139805637623
2022-10-25,-0.007986278008945025,-0.007986278008945025,-3.8416114582809704e-05,-0.0015435502416185627,0.0034654193243250178,-0.001994827768132571,-0.006053268765133124,-0.002029615855168328
2022-10-26,0.02589502358955268,0.02589502358955268,0.014129416930528159,0.017180058401968935,0.00991545500092757,0.012235933343270814,0.02679658952496955,0.019770303946437785
2022-10-27,0.007129873425618881,0.007129873425618881,-0.003369702302958891,-0.001878954488681657,-0.0092026281923037,0.004992965784158199,0.005931198102016477,0.0011093507384295487
2022-10-28,-0.024402217101590257,-0.024402217101590257,-0.04032494492975113,-0.03462213687421215,-0.04659953036430094,-0.05032769312315184,-0.01297169811320753,-0.03420423022501369
2022-10-31,0.02109667554533634,0.02109667554533634,0.008116912389609432,0.013174023611634667,0.008960647572589481,0.005439471572319313,0.021505376344086002,0.02042444404839701
2022-11-01,0.016907220977088928,0.016907220977088928,0.036605206576767614,0.02759851221915473,0.042833338202292584,0.04302614979317061,0.005847953216374213,0.026027489837617598
2022-11-02,0.012275772355162307,0.012275772355162307,0.015553518921602281,0.014772227539643504,0.020496569488640537,0.025345087851298704,0.0023255813953488857,0.01552011792431318
2022-11-03,0.010565709927060851,0.010565709927060851,0.009479895870119215,0.012251435763787288,0.0005131560821049303,-0.007399778526178827,0.03248259860788849,0.005640406472345649
2022-11-04,0.015018005205756912,0.015018005205756912,0.03171606994707643,0.028465074899526766,0.043185715195047804,0.03535803242996145,0.008988764044943753,0.026859991042084436
2022-11-07,-0.0044804972101035,-0.0044804972101035,0.002139682556260217,-0.00010442883403512758,0.00680227485172898,0.01626322171917094,-0.014476614699331813,-0.003868273275845639
2022-11-08,-0.008628389795573677,-0.008628389795573677,-0.004152280811885345,-0.007339730001759248,-0.004090314740705647,-0.001742654572256567,-0.011299435028248594,-0.00505513813656396
2022-11-09,-0.01200378543192319,-0.01200378543192319,-0.014185246494632375,-0.014966714171048556,-0.018306113939241715,-0.013862423087340314,-0.00914285714285712,-0.014634954858758244
2022-11-10,-0.01978416008356106,-0.01978416008356106,-0.02299162973022917,-0.027065655408676226,-0.025582187308721117,-0.006896277562212633,-0.02768166089965407,-0.0208774355900501
2022-11-11,0.011644747031587318,0.011311413698253985,0.012872841029214268,0.017115428585616432,0.018676776410309476,0.007794549214267663,0.013234875444839811,0.0142798440813768
2022-11-14,-0.0026797149355722487,-0.009581192548178834,-0.00837127119306691,-0.0066889873658973285,-0.0066889873658973285,-0.0027583779946132037,-0.02546201232032841,-0.0026797149355722487
2022-11-15,0.03078354000688018,0.015176887939216972,0.03069354614993913,0.017198651860588516,0.017198651860588516,0.007244769377227215,0.009270965023177258,0.03078354000688018
