trade_date,exposure,long_q5_etfs,short_q1_etfs,n_long,n_short,ivol_q5_avg,ivol_q1_avg
2023-09-01,0.6754381595459803,159819.SZ;159869.SZ;159890.SZ;512480.SS;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.3186720153064018,0.03599810722612
2023-10-10,0.9395154025697787,159869.SZ;512480.SS;512760.SS;512980.SS;515220.SS;515880.SS,159915.SZ;510050.SS;510180.SS;510300.SS;510500.SS,6,5,0.2130192766362695,0.03310674604489054
2023-11-08,0.7375472051149783,159869.SZ;159890.SZ;512480.SS;512760.SS;512880.SS;512980.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.25154677842602036,0.05202346042311179
2023-12-07,0.9473560483444449,159819.SZ;159869.SZ;159890.SZ;512660.SS;512980.SS;515220.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,7,5,0.22975315591350473,0.030963333908800284
2024-01-08,0.48614324175939555,159819.SZ;159857.SZ;159869.SZ;512660.SS;512980.SS;515220.SS,159980.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.2779563515241325,0.04197386392593131
2024-02-06,0.3700174400869417,159819.SZ;159857.SZ;159869.SZ;159890.SZ;512980.SS;515880.SS,159980.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.3404834170089035,0.05090323661478905
2024-03-14,0.3261525657495413,159819.SZ;159869.SZ;159890.SZ;512980.SS;515220.SS;515880.SS,159980.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.3866379283913763,0.04990770757962084
2024-04-16,0.32808784947127445,159755.SZ;159869.SZ;159890.SZ;512980.SS;515220.SS;515880.SS,159915.SZ;159949.SZ;510050.SS;510180.SS;510300.SS,6,5,1.0203451782325463,0.054618476997263334
2024-05-20,0.4824231802143974,159869.SZ;159890.SZ;159980.SZ;512660.SS;515220.SS;515880.SS,159915.SZ;510050.SS;510180.SS;510300.SS;510500.SS,6,5,0.2383787552439304,0.04626736323448628
2024-06-19,0.6900506497227911,159857.SZ;159869.SZ;159980.SZ;512480.SS;512760.SS;515220.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;512690.SS,7,5,0.24265860379745696,0.05122015697312763
2024-07-18,1.543137247034393,159869.SZ;159890.SZ;159992.SZ;512170.SS;512480.SS;515220.SS;515880.SS,159915.SZ;510050.SS;510180.SS;510300.SS;518880.SS,7,5,0.2519853464211481,0.05439709936196759
2024-08-16,1.7828062103819111,159857.SZ;159869.SZ;159992.SZ;512290.SS;512480.SS;512660.SS;515880.SS,510050.SS;510180.SS;510300.SS;510880.SS;515210.SS,7,5,0.21795969754955977,0.04695863494130124
2024-09-18,0.9263375759133585,159755.SZ;159857.SZ;159869.SZ;512690.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;515210.SS;518880.SS,6,5,0.21466898616028604,0.04869330999925019
2024-10-24,0.594653518529049,159890.SZ;159949.SZ;512480.SS;512760.SS;588000.SS;588080.SS,159980.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.6463645212111875,0.09389647769583788
2024-11-22,0.5941261662279065,159819.SZ;159869.SZ;159890.SZ;512480.SS;512660.SS;512760.SS,159980.SZ;510050.SS;510180.SS;510300.SS;510880.SS,6,5,0.3872572232555164,0.07043268480897986
2024-12-23,0.4932300052573572,159819.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;512980.SS,159980.SZ;510050.SS;510180.SS;510300.SS;512010.SS,6,5,0.27461641512102947,0.047436449765705366
2025-01-22,0.3902597233660376,159819.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;515880.SS,159980.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.24433237931713736,0.041224153855878784
2025-02-28,0.3482274028271941,159819.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;515880.SS,159980.SZ;510050.SS;510180.SS;510300.SS;510500.SS,6,5,0.34427609989198776,0.04843428639926543
2025-03-31,0.322217989743134,159819.SZ;159890.SZ;512480.SS;512660.SS;512980.SS;515220.SS;515880.SS,159949.SZ;510050.SS;510180.SS;510300.SS;510880.SS,7,5,0.21043733374039983,0.040942885336919844
2025-04-30,0.6500966926770502,159819.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;515880.SS;518880.SS,510050.SS;510180.SS;510300.SS;510500.SS;512880.SS,7,5,0.27585626121433926,0.060085098504292
2025-06-04,0.6050551273926967,159869.SZ;159890.SZ;159992.SZ;512660.SS;512980.SS;515880.SS;518880.SS,510050.SS;510180.SS;510300.SS;510880.SS;512690.SS,7,5,0.21891340854370595,0.03914086235936742
2025-07-03,0.9714442443541698,159869.SZ;159890.SZ;159992.SZ;512660.SS;512980.SS;515210.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,7,5,0.21712018834631874,0.03879219234531436
2025-08-01,1.0916107946038571,159819.SZ;159857.SZ;159869.SZ;159890.SZ;515210.SS;515220.SS;515880.SS,159980.SZ;510050.SS;510180.SS;510300.SS;510500.SS,7,5,0.2541351820783758,0.042704324675691366
2025-09-01,1.1186846684695695,159819.SZ;159890.SZ;512480.SS;512760.SS;515880.SS;588000.SS;588080.SS,159980.SZ;510050.SS;510180.SS;510300.SS;510880.SS,7,5,0.32262562428507574,0.049704295052478434
2025-09-30,0.7811208690298374,159755.SZ;159819.SZ;159857.SZ;159869.SZ;512480.SS;512760.SS;515880.SS,159980.SZ;510050.SS;510180.SS;510300.SS;510880.SS,7,5,0.32389695568182547,0.05932073473173566
2026-03-16,,159869.SZ;159890.SZ;512660.SS;512980.SS;515210.SS;515220.SS;515880.SS,159915.SZ;510050.SS;510180.SS;510300.SS;512880.SS,7,5,0.3430384239498303,0.06055505654949367
2026-04-15,,159755.SZ;159857.SZ;159992.SZ;512760.SS;515220.SS;515880.SS;518880.SS,510050.SS;510180.SS;510300.SS;510500.SS;512690.SS,7,5,0.5179239301540611,0.06093107715326592
