round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,method,k,dp_pool,dp_dxy,dp_rmb,selective
0,M6 top-2 base,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.20904950185550764,0.1505435460736972,1.3886314445733157,1.7260522830267435,-0.16146758731757527,1.2946840002281574,1.6546780282266595,0.4745508982035928,34.64101796407186,2672,topk,2.0,,,,
63,M6 top-2 + DP pool=511260 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.16674712078843457,0.1465499059506081,1.137817999314401,1.4950455862677303,-0.16146758731757516,1.03269717197468,1.3283616907505358,0.46968562874251496,38.287724550898204,2672,,,511260,0.02,0.01,
63,M6 top-2 + DP pool=511260 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.1926210228528462,0.1483115229806322,1.2987596579262446,1.6384819153776273,-0.16146758731757527,1.1929392520989257,1.5319419807417025,0.47380239520958084,35.23832335329341,2672,,,511260,0.04,0.02,
63,M6 top-2 + DP pool=511260 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.19563712135689015,0.14852537375049668,1.3171966271940516,1.669234337320199,-0.1614675873175757,1.2116185335209693,1.5600392723861722,0.4726796407185629,36.527245508982034,2672,,,511260,0.06,0.03,
63,M6 top-2 + DP pool=511260|511880 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.16650080410013435,0.14642990099307007,1.1370683376205666,1.4948415216390005,-0.16146758731757516,1.0311716850804231,1.323199337541171,0.47717065868263475,38.287724550898204,2672,,,511260|511880,0.02,0.01,
63,M6 top-2 + DP pool=511260|511880 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.19256268025385026,0.14824996916793848,1.2989053645988557,1.6387383104243725,-0.16146758731757527,1.192577925098472,1.5282026343692743,0.4779191616766467,35.23832335329341,2672,,,511260|511880,0.04,0.02,
63,M6 top-2 + DP pool=511260|511880 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.1949506109793493,0.1485119947209433,1.3126926976212592,1.6644969441034672,-0.16146758731757527,1.2073668419651273,1.554198843375444,0.47305389221556887,36.527245508982034,2672,,,511260|511880,0.06,0.03,
63,M6 top-2 + DP pool=511260|511880|162411 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.18540033251801202,0.1522137757122259,1.2180259746563828,1.5789843093150335,-0.16146758731757516,1.1482201201988969,1.46003098190517,0.47754491017964074,39.042215568862275,2672,,,511260|511880|162411,0.02,0.01,
63,M6 top-2 + DP pool=511260|511880|162411 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.19920981848858066,0.15197119028454512,1.3108393644584064,1.6481809512481098,-0.1614675873175755,1.233744937903689,1.5665627204172277,0.47567365269461076,35.552694610778445,2672,,,511260|511880|162411,0.04,0.02,
63,M6 top-2 + DP pool=511260|511880|162411 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.1999265500564713,0.1498606796999787,1.3340827657843575,1.689116337624551,-0.1614675873175756,1.23818379513688,1.5868786247906865,0.4726796407185629,36.810179640718566,2672,,,511260|511880|162411,0.06,0.03,
