round,label,rsrs_N,rsrs_M,rsrs_form,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,trend_ma_window,exclude_buckets
6,refine L=60 λs=0.3 rb=0.1,30.0,250.0,rsrs_skew,60.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.1,0.06629588635885031,0.1457013432627734,0.4550121836508069,1.1150973647716387,-0.25858330836205634,0.2563811515089206,0.6215338899628948,0.4958832335329341,76.77732035928143,2672,200.0,
6,refine L=60 λs=0.3 rb=0.2,30.0,250.0,rsrs_skew,60.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.2,0.06629588635885031,0.1457013432627734,0.4550121836508069,1.1150973647716387,-0.25858330836205634,0.2563811515089206,0.6215338899628948,0.4958832335329341,76.77732035928143,2672,200.0,
6,refine L=60 λs=0.3 rb=0.3,30.0,250.0,rsrs_skew,60.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.3,0.06629588635885031,0.1457013432627734,0.4550121836508069,1.1150973647716387,-0.25858330836205634,0.2563811515089206,0.6215338899628948,0.4958832335329341,76.77732035928143,2672,200.0,
6,refine L=60 λs=0.3 rb=0.4,30.0,250.0,rsrs_skew,60.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.4,0.08983180668230561,0.14586666933044667,0.6158487548570842,1.1977161715395388,-0.22497422538634848,0.39929821528682835,0.8366085634276507,0.5,67.62911676646706,2672,200.0,
6,refine L=60 λs=0.5 rb=0.0,30.0,250.0,rsrs_skew,60.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.0,0.07612430315663943,0.14472012191558561,0.5260104963222895,1.1879274801548116,-0.23788653057504372,0.3200025784252011,0.7282369007314641,0.49700598802395207,75.95995508982035,2672,200.0,
6,refine L=60 λs=0.5 rb=0.1,30.0,250.0,rsrs_skew,60.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.1,0.07612430315663943,0.14472012191558561,0.5260104963222895,1.1879274801548116,-0.23788653057504372,0.3200025784252011,0.7282369007314641,0.49700598802395207,75.95995508982035,2672,200.0,
6,refine L=60 λs=0.5 rb=0.2,30.0,250.0,rsrs_skew,60.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.2,0.07612430315663943,0.14472012191558561,0.5260104963222895,1.1879274801548116,-0.23788653057504372,0.3200025784252011,0.7282369007314641,0.49700598802395207,75.95995508982035,2672,200.0,
6,refine L=60 λs=0.5 rb=0.3,30.0,250.0,rsrs_skew,60.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.3,0.07612430315663943,0.14472012191558561,0.5260104963222895,1.1879274801548116,-0.23788653057504372,0.3200025784252011,0.7282369007314641,0.49700598802395207,75.95995508982035,2672,200.0,
6,refine L=60 λs=0.5 rb=0.4,30.0,250.0,rsrs_skew,60.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.4,0.09622993756052267,0.1455525439761453,0.6611353874810587,1.2384794862647754,-0.2236310297046501,0.4303067319754943,0.9111618628686247,0.5,66.74887724550898,2672,200.0,
6,refine L=60 λs=0.7 rb=0.0,30.0,250.0,rsrs_skew,60.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.0,0.06349666160506229,0.14314322458648604,0.4435883136522336,1.1084044239099893,-0.28850446571665866,0.22008900779866125,0.624183274305083,0.4876497005988024,76.4315119760479,2672,200.0,
