window,test_start,test_end,R30_train_sh,R30_test_sh,R30_test_ret,R30_test_dd,R42_train_sh,R42_test_sh,R42_test_ret,R42_test_dd,M3_train_sh,M3_test_sh,M3_test_ret,M3_test_dd,M5_train_sh,M5_test_sh,M5_test_ret,M5_test_dd,M1_train_sh,M1_test_sh,M1_test_ret,M1_test_dd,M3+DP_train_sh,M3+DP_test_sh,M3+DP_test_ret,M3+DP_test_dd,M5+DP_train_sh,M5+DP_test_sh,M5+DP_test_ret,M5+DP_test_dd
10,2018-09-12,2019-09-25,1.7394331549156419,0.5134516338032495,0.03694625073751334,-0.06712274894045556,1.574870092854322,0.4904669177309709,0.03528918953849214,-0.06712274894045456,1.157476476378707,0.5771032829493834,0.04060178129579106,-0.06886320158381198,0.8721419512239535,0.3594834808559355,0.06283721635570227,-0.18123043656288396,0.9319776218755659,-0.5407012520989501,-0.05991614851377902,-0.1349462775468161,1.0062494694340012,0.5693367147393015,0.04004797809640137,-0.06886320158381265,0.8826408787411884,0.3582570094586978,0.06262158336277612,-0.18123043656288362
11,2018-12-18,2019-12-30,1.7719338069106516,0.6523418266049386,0.052901179478446636,-0.06712274894045545,1.6004466045689691,0.6523418266049386,0.052901179478446636,-0.06712274894045545,1.2235631540977698,0.7535788246790085,0.060280996262426445,-0.06886320158381187,0.9362515738236059,0.6822943124469016,0.05478000059859478,-0.07307426158236585,1.097196032375536,1.3591785269871361,0.18534695559796233,-0.0987205791036353,1.0677007385892485,0.7535788246790085,0.060280996262426445,-0.06886320158381187,0.8388046303392063,0.6756105557126112,0.05423934103421857,-0.07307426158236541
12,2019-03-26,2020-04-07,1.5668305344268305,0.45445482040572144,0.05182094509822921,-0.0805458429748751,1.6248171664209001,0.45445482040572144,0.05182094509822921,-0.0805458429748751,1.268907241259597,0.3757023648335981,0.041845241672382905,-0.08054584297487533,1.0632539114196073,-0.5157760366124524,-0.07351644792179979,-0.14450089543684697,1.4474922292768524,0.9420554076854304,0.12556101573941936,-0.09872057910363519,1.3364717760064053,0.3757023648335981,0.041845241672382905,-0.08054584297487533,1.1303189139929088,-0.5157760366124524,-0.07351644792179979,-0.14450089543684697
13,2019-06-28,2020-07-10,1.5899844654152078,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.6468390187263662,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.2460792677683343,2.108779030467762,0.29317175770201853,-0.08054584297487499,1.214420309028838,0.5310958246483505,0.10197190699297898,-0.22816345389545356,1.44131910201192,2.39038112432087,0.3375173015468571,-0.08054584297487521,1.3136381655380973,2.108779030467762,0.29317175770201853,-0.08054584297487499,1.250962188355955,0.5310958246483505,0.10197190699297898,-0.22816345389545356
14,2019-09-26,2020-10-15,1.1751399453713438,2.1275110007116,0.38929599797843717,-0.09102907406585958,1.225722537238148,2.1275110007116,0.38929599797843717,-0.09102907406585958,1.108159080268795,1.2646690107100056,0.254550134669173,-0.13004471946227059,1.2847781003653507,0.18493843245073327,0.04468807134913244,-0.24848240862586968,1.2014898803389376,2.5318673843056945,0.46910479838959107,-0.09102907406585947,1.1628028262401755,1.2646690107100056,0.254550134669173,-0.13004471946227059,1.3338996841346307,0.18493843245073327,0.04468807134913244,-0.24848240862586968
15,2019-12-31,2021-01-13,1.0415181194582406,2.7427084991647748,0.5472668438687447,-0.09102907406585947,1.0935772928755743,2.7427084991647748,0.5472668438687447,-0.09102907406585947,0.9814695000957322,1.8220846963034967,0.3947512476117634,-0.1300447194622697,0.8091183529185385,0.6900655305757527,0.16473137017703654,-0.194026042919332,1.056291427415437,2.507136361627974,0.49772204920841245,-0.09102907406585947,1.0377633560507307,1.8220846963034967,0.3947512476117634,-0.1300447194622697,0.8653383384672156,0.6900655305757527,0.16473137017703654,-0.194026042919332
16,2020-04-08,2021-04-20,1.115083063031728,2.2717967519011357,0.4804887427631439,-0.13367307280223206,1.1623901725442414,2.2717967519011357,0.4804887427631439,-0.13367307280223206,1.0516092667255124,1.5279737468908725,0.34934871915812327,-0.13367307280223206,0.5490794712919851,1.3335135206275057,0.3092511859333844,-0.1590665547593908,1.2562640930601903,2.169273270230994,0.4668091192402446,-0.13367307280223195,1.1028848257627666,1.5279737468908725,0.34934871915812327,-0.13367307280223206,0.591704733440111,1.3335135206275057,0.3092511859333844,-0.1590665547593908
17,2020-07-13,2021-07-22,1.8418227108580438,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.8859160664771137,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.7938577066125605,1.0458233738217855,0.24332168026814216,-0.1348595298936821,1.0920420026552495,0.882099902743411,0.20730604239130845,-0.15906655475939147,1.6950736034231726,1.6360117851163782,0.3531799312282464,-0.13367307280223206,1.840661298304055,1.0458233738217855,0.24332168026814216,-0.1348595298936821,1.134441054082105,0.882099902743411,0.20730604239130845,-0.15906655475939147
18,2020-10-16,2021-10-28,1.3689756975787513,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.4074426450907782,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.0673791462278106,2.024282405059879,0.37632322948465147,-0.13485952989368277,0.7435897736717915,1.2606582659347747,0.2747129103262702,-0.1771673646191565,1.1676699638447008,2.024282405059879,0.37632322948465147,-0.13485952989368277,1.1286322941929958,2.024282405059879,0.37632322948465147,-0.13485952989368277,0.7785858815328095,1.2606582659347747,0.2747129103262702,-0.1771673646191565
19,2021-01-14,2022-01-26,1.6453267764859265,0.3277671391029623,0.05071195683274832,-0.13367307280223206,1.682736061188181,0.3277671391029623,0.05071195683274832,-0.13367307280223206,1.322648599696153,0.703044878604245,0.14882412074323215,-0.14050440506173212,0.9875296192537918,0.4775907963874913,0.10378104905427032,-0.19167542301558083,1.1559011217424286,0.9157932414483783,0.16337220106011197,-0.13485952989368233,1.3851660826067456,0.703044878604245,0.14882412074323215,-0.14050440506173212,1.022351716920754,0.4775907963874913,0.10378104905427032,-0.19167542301558083
20,2021-04-21,2022-05-09,1.3920339537330528,0.6917664668985365,0.07306861686299548,-0.0808714202611519,1.4269783870211012,0.988710338893374,0.1062381616904291,-0.0808714202611519,1.1153723085660197,1.1047230287233936,0.25488723471037966,-0.16670662127892166,0.653500173465611,0.2495903626127996,0.06331770093750921,-0.27293149652470383,0.9589927115996114,1.2903336282404019,0.19734983760198865,-0.07760545080543368,1.1738686822563869,1.1051547985264378,0.25094159386891013,-0.16670662127892166,0.687244011365183,0.20796249670407718,0.05183594195926711,-0.27293149652470383
21,2021-07-23,2022-08-05,1.6470056900274284,-1.4774099623562031,-0.06820869868055612,-0.0808714202611519,1.6810097731068636,-0.6294678443942405,-0.058076819371019495,-0.1119180938532095,1.4008892501103523,0.5905463080532338,0.13803857742587655,-0.17181498406246698,1.0851523154829412,-1.0210719243832207,-0.05031759751832088,-0.08060378522664957,1.2488228869029532,0.26951632675656056,0.03914322162473183,-0.0776054508054338,1.4581361658319023,0.21430744981581357,0.04901769094045605,-0.17181498406246698,1.1325409813850136,-0.48888013029990174,-0.04587374190073901,-0.11202990222133546
22,2021-10-29,2022-11-10,1.2184436559523089,0.22847176722016418,0.08483613017091929,-0.20458135860979432,1.2103579628556302,0.7403857287604821,0.23136545424055854,-0.1678321678321678,1.5318364238459363,0.10184202784579098,0.022076567917103995,-0.14832535885167442,1.0497597014425017,0.06824050536214463,0.0024757667222670143,-0.04866207516218779,1.5604199900653568,0.19420684757422088,0.039575903658091605,-0.11790742972700385,1.5313398473032556,-0.1774745237829977,-0.036723487197465876,-0.14209781514552844,1.0485044374765597,0.5756616669626345,0.0641353422771993,-0.11202990222133558
23,2022-01-27,2023-02-15,0.6186364833704452,0.6288982607855162,0.11077041526242937,-0.1678321678321676,0.6153381123147046,0.9053823526300365,0.18545038599986352,-0.1678321678321676,1.2942094049251305,1.0216853120355782,0.2203504854798548,-0.1483253588516743,0.9032702299500398,0.6097488591936072,0.04270190666384277,-0.06105300824525528,1.094201022447333,1.0863792993027774,0.2195367251918663,-0.10601226304160127,1.2942094049251305,0.7251629884851857,0.14933020073599113,-0.142097815145529,0.9020890726742999,0.8435230749699124,0.10663277055619491,-0.11202990222133524
24,2022-05-10,2023-05-19,1.9491881423026158,-0.34007295208035443,-0.10328560088988703,-0.23463063426271658,2.0084141287592607,-0.06597876423288729,-0.015019691450427697,-0.1296495200493497,1.305230665471982,0.3530485109759385,0.06963940410584146,-0.14832535885167408,0.8438453616216524,0.20780084203261456,0.02928775422447516,-0.09171852731378405,1.1301880019694304,0.34483211661496893,0.06287959448098834,-0.09205263072396308,1.3033695423738114,0.06719418066724166,0.012832352874875719,-0.1254204966904312,0.9136297427401138,0.33785333451128513,0.05904608520604193,-0.11202990222133558
25,2022-08-08,2023-08-18,1.3790353117433962,-0.6553037380557258,-0.09115306774963972,-0.11709563042426707,1.3016905712446927,-0.23008479925218095,-0.035682084469741304,-0.1170956304242673,1.308100376117469,0.2730986680171846,0.05107031812292928,-0.14832535885167386,1.3312558085942445,0.6753380056733803,0.12468801801709661,-0.11242646686845847,1.0907494927602475,0.17536722044716088,0.030469711134530453,-0.10985234679971856,1.1529911349355026,0.40590684300350466,0.07390579067901104,-0.10985234679971845,1.1026162659248548,0.47044278514178783,0.08643227615541615,-0.1124264668684587
26,2022-11-11,2023-11-23,1.4296745144603926,-0.7240629672828431,-0.10049495073894243,-0.11918346946707847,1.4655532979494574,-0.725236659860026,-0.10065988954267946,-0.11918346946707814,1.299939380250816,0.4159498527160744,0.07090532795642202,-0.10985234679971878,1.6075702146125355,-0.31849823941099,-0.05456383073409432,-0.11242646686845836,1.1518545585672624,0.08116680979862544,0.013519705625782086,-0.10985234679971878,1.200118583285238,0.4116689683289186,0.07014784272811103,-0.10985234679971878,1.3063305003042407,-0.31849823941099,-0.05456383073409432,-0.11242646686845836
