round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,rr_pos,rr_neg,dxy_mom,fallback,n_changed,gold_added,gold_removed,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,q,blend,off,full
39,refine k=3 wr=0.3 L=120 rb=0.6,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,,,,,,,,0.15721025971024138,0.14935384809906393,1.0526026728549132,1.4897921424700908,-0.14381900623257482,1.0931118482073996,1.3196507702335305,0.47642215568862273,46.49550898203593,2672,,,,
39,refine k=3 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.17313025970357132,0.14651968210343508,1.1816177677846078,1.5870311484120692,-0.1363544533746871,1.2697074090262994,1.5034923152519493,0.4741766467065868,41.40269461077845,2672,,,,
39,refine k=3 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,,,,,,,0.17313025970357132,0.14651968210343508,1.1816177677846078,1.5870311484120692,-0.1363544533746871,1.2697074090262994,1.5034923152519493,0.4741766467065868,41.40269461077845,2672,,,,
39,refine k=3 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.17313025970357132,0.14651968210343508,1.1816177677846078,1.5870311484120692,-0.1363544533746871,1.2697074090262994,1.5034923152519493,0.4741766467065868,41.40269461077845,2672,,,,
39,refine k=3 wr=0.3 L=180 rb=0.6,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,,,,,,,,0.17313025970357132,0.14651968210343508,1.1816177677846078,1.5870311484120692,-0.1363544533746871,1.2697074090262994,1.5034923152519493,0.4741766467065868,41.40269461077845,2672,,,,
39,refine k=3 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.15632966764518508,0.14505310911481428,1.0777408950362106,1.4816477441180806,-0.17942077675444612,0.871301922068572,1.3823505601602213,0.46781437125748504,41.81137724550898,2672,,,,
39,refine k=3 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,,,,,,,0.15632966764518508,0.14505310911481428,1.0777408950362106,1.4816477441180806,-0.17942077675444612,0.871301922068572,1.3823505601602213,0.46781437125748504,41.81137724550898,2672,,,,
39,refine k=3 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.15632966764518508,0.14505310911481428,1.0777408950362106,1.4816477441180806,-0.17942077675444612,0.871301922068572,1.3823505601602213,0.46781437125748504,41.81137724550898,2672,,,,
39,refine k=3 wr=0.3 L=252 rb=0.6,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,,,,,,,,0.15632966764518508,0.14505310911481428,1.0777408950362106,1.4816477441180806,-0.17942077675444612,0.871301922068572,1.3823505601602213,0.46781437125748504,41.81137724550898,2672,,,,
39,refine k=3 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.16043616014705875,0.1500045250079283,1.0695421364027458,1.5179330703005198,-0.14447267826394206,1.1104948151784966,1.408193941589762,0.4719311377245509,47.50149700598802,2672,,,,
