window,test_start,test_end,n_dp_days_in_test,r30_train_sh,r30_test_sh,r30_test_ret,r30_test_dd,r41_train_sh,r41_test_sh,r41_test_ret,r41_test_dd,r42_train_sh,r42_test_sh,r42_test_ret,r42_test_dd,delta_r41_r30,delta_r42_r30
16,2020-04-08,2021-04-20,0,1.115083063031728,2.2717967519011357,0.4804887427631439,-0.13367307280223206,1.1024717774895778,2.2717967519011357,0.4804887427631439,-0.13367307280223206,1.1623901725442414,2.2717967519011357,0.4804887427631439,-0.13367307280223206,0.0,0.0
17,2020-07-13,2021-07-22,0,1.8418227108580438,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.8294848645871518,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.8859160664771137,1.647901039183376,0.3559047517245917,-0.13367307280223206,0.0,0.0
18,2020-10-16,2021-10-28,0,1.3689756975787513,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.3589132010387404,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.4074426450907782,1.4815033121206755,0.26063310129958084,-0.13367307280223195,0.0,0.0
19,2021-01-14,2022-01-26,0,1.6453267764859265,0.3277671391029623,0.05071195683274832,-0.13367307280223206,1.6354519433184713,0.3277671391029623,0.05071195683274832,-0.13367307280223206,1.682736061188181,0.3277671391029623,0.05071195683274832,-0.13367307280223206,0.0,0.0
20,2021-04-21,2022-05-09,7,1.3920339537330528,0.6917664668985365,0.07306861686299548,-0.0808714202611519,1.3830288985630528,0.6722400467057098,0.07102005749142237,-0.0808714202611519,1.4269783870211012,0.988710338893374,0.1062381616904291,-0.0808714202611519,-0.019526420192826688,0.2969438719948375
21,2021-07-23,2022-08-05,60,1.6470056900274284,-1.4774099623562031,-0.06820869868055612,-0.0808714202611519,1.6381975440580103,-1.4264261046699636,-0.06628520472436306,-0.0808714202611519,1.6810097731068636,-0.6294678443942405,-0.058076819371019495,-0.1119180938532095,0.050983857686239586,0.8479421179619626
22,2021-10-29,2022-11-10,104,1.2184436559523089,0.22847176722016418,0.08483613017091929,-0.20458135860979432,1.2085404364604893,0.47816531254074485,0.14096569824915095,-0.1678321678321678,1.2103579628556302,0.7403857287604821,0.23136545424055854,-0.1678321678321678,0.24969354532058066,0.511913961540318
23,2022-01-27,2023-02-15,104,0.6186364833704452,0.6288982607855162,0.11077041526242937,-0.1678321678321676,0.6186364833704452,0.620455746778238,0.10929303363688536,-0.1678321678321676,0.6153381123147046,0.9053823526300365,0.18545038599986352,-0.1678321678321676,-0.008442514007278246,0.2764840918445203
24,2022-05-10,2023-05-19,97,1.9491881423026158,-0.34007295208035443,-0.10328560088988703,-0.23463063426271658,1.938440003450829,-0.29094551210024894,-0.05915711874636109,-0.17985434900891317,2.0084141287592607,-0.06597876423288729,-0.015019691450427697,-0.1296495200493497,0.04912743998010549,0.27409418784746714
25,2022-08-08,2023-08-18,44,1.3790353117433962,-0.6553037380557258,-0.09115306774963972,-0.11709563042426707,1.3330477241460439,-0.6553037380557258,-0.09115306774963972,-0.11709563042426707,1.3016905712446927,-0.23008479925218095,-0.035682084469741304,-0.1170956304242673,0.0,0.4252189388035449
26,2022-11-11,2023-11-23,0,1.4296745144603926,-0.7240629672828431,-0.10049495073894243,-0.11918346946707847,1.391412000233058,-0.7240629672828431,-0.10049495073894243,-0.11918346946707847,1.4655532979494574,-0.725236659860026,-0.10065988954267946,-0.11918346946707814,0.0,-0.0011736925771828055
