round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,two_stage_n,two_stage_k,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,sw_k,sw_power,vp_k,vp_vlb,adaptive_q_off,adaptive_q_on,rev_w,final_rebal,best_round_mech
14,sw k=3 pow=1.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09494711138192247,0.14458478232605126,0.6566881372605899,1.1730793731626468,-0.22319791730001282,0.42539425336258285,0.8479248997245926,0.5,61.50443878558406,2672,3.0,1.5,,,,,,,
14,sw k=3 pow=2.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09264855541825856,0.14650572230577164,0.632388646396296,1.1456168702693854,-0.21606190980597295,0.42880559327397616,0.8088920427156998,0.49887724550898205,61.94521533855366,2672,3.0,2.0,,,,,,,
14,sw k=5 pow=0.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10210699038934301,0.13860792160373964,0.7366605689482337,1.2379394874774814,-0.2365451699476313,0.4316595870968258,0.9625882533857327,0.500748502994012,56.513563956025564,2672,5.0,0.5,,,,,,,
14,sw k=5 pow=1.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10951509137100035,0.1401757842649343,0.7812696889500915,1.26645680619619,-0.21074992443826834,0.5196447479774964,1.0211321648068183,0.5056137724550899,55.39850299401198,2672,5.0,1.0,,,,,,,
14,sw k=5 pow=1.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10927662336117816,0.14049713817424486,0.7777854038966477,1.2752725265863094,-0.1861746275923315,0.5869576578418747,1.013572791811446,0.5071107784431138,57.02885747092479,2672,5.0,1.5,,,,,,,
14,sw k=5 pow=2.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10668347713044724,0.14066673840503624,0.7584129577474279,1.26458237697705,-0.18989373355434613,0.5618062014664388,0.9884787169908154,0.5059880239520959,58.270537074409944,2672,5.0,2.0,,,,,,,
14,sw k=7 pow=0.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08672377831871647,0.13064460624600058,0.6638144567209896,1.1560198890933635,-0.2589827878929629,0.33486309659528124,0.8377558503047563,0.5089820359281437,53.56603128722671,2672,7.0,0.5,,,,,,,
14,sw k=7 pow=1.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09372152173472093,0.13402046854882213,0.69930752182514,1.1893249880377494,-0.2563629926193399,0.36558132192614534,0.8978048701420154,0.5056137724550899,54.38904097399607,2672,7.0,1.0,,,,,,,
14,sw k=7 pow=1.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10351871801579415,0.1367114779642566,0.7572057559267941,1.2482908977250042,-0.2266612154392832,0.45671121023139577,0.9833823438506181,0.5056137724550899,55.055443610177164,2672,7.0,1.5,,,,,,,
14,sw k=7 pow=2.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10740674938334283,0.13825652661849047,0.7768656714465603,1.2693709720582809,-0.19975921734990576,0.5376810682793431,1.0135508619970446,0.5063622754491018,55.68977409221875,2672,7.0,2.0,,,,,,,
15,vp k=3 vlb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09019917997047777,0.11655011694322981,0.7739089615363727,1.3429479105110336,-0.22129832302721353,0.40759088788660086,0.9452639331510984,0.5074850299401198,57.080612743913285,2672,,,3.0,40.0,,,,,
15,vp k=3 vlb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09038645990272443,0.1171491594669472,0.7715502212222557,1.3342995085730713,-0.22094892930787668,0.4090830409808291,0.9391661233126942,0.5089820359281437,56.81178696212133,2672,,,3.0,60.0,,,,,
15,vp k=3 vlb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09044344141524996,0.117738963803899,0.7681691641680208,1.326331322981243,-0.21922933261689803,0.4125517344583598,0.9366849554568809,0.5074850299401198,56.66275221420685,2672,,,3.0,90.0,,,,,
15,vp k=5 vlb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.05891590217957887,0.1048386834619626,0.5619672074664562,1.1578010898662225,-0.25529545330223025,0.23077536798053186,0.6518102292761021,0.5071107784431138,55.632414091052915,2672,,,5.0,40.0,,,,,
15,vp k=5 vlb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.059190736138780675,0.10555466614854492,0.5607590673015134,1.150432892503907,-0.2523784135976258,0.23453169110235464,0.650781135257443,0.5071107784431138,55.438061603150985,2672,,,5.0,60.0,,,,,
15,vp k=5 vlb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.05953174023509811,0.10529354828395304,0.5653882997138094,1.1561862226288595,-0.24764945932327387,0.24038711975295385,0.6550701890861679,0.5067365269461078,55.38463641011968,2672,,,5.0,90.0,,,,,
15,vp k=7 vlb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.04051624324003922,0.09116160700529856,0.44444415331208786,1.0874200773005032,-0.29857670445494333,0.1356979383706518,0.5086483244524845,0.5078592814371258,53.57519284218297,2672,,,7.0,40.0,,,,,
15,vp k=7 vlb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.040030832234517755,0.09152458063221286,0.437377936702925,1.0737088315859615,-0.29727585145812674,0.13465887672398563,0.49939730703578084,0.5089820359281437,53.295042015635154,2672,,,7.0,60.0,,,,,
15,vp k=7 vlb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.041066945267413946,0.0920043277569006,0.4463588427701305,1.0810325652518318,-0.27570200983155035,0.14895410190337463,0.5090357537126863,0.5108532934131736,53.36620280027399,2672,,,7.0,90.0,,,,,
16,"adaptive q=0.2,0.8",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.0976047701012197,0.14320073299308977,0.6815940677198187,1.1903042002526487,-0.28989360511142603,0.3366916978513668,0.8925595243499405,0.5,58.62607702451927,2672,,,,,0.2,0.8,,,
16,"adaptive q=0.3,0.7",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10245860611313296,0.1472302211622606,0.695907438733075,1.219404907867766,-0.31426639922156596,0.32602469232129705,0.9118173695759684,0.5018712574850299,61.61144123498102,2672,,,,,0.3,0.7,,,
16,"adaptive q=0.4,0.6",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10535387723944378,0.15152614201181633,0.6952851556877101,1.2360117580211778,-0.3270266986353645,0.32215680762173365,0.9128363284979837,0.49887724550898205,65.09390381504218,2672,,,,,0.4,0.6,,,
16,"adaptive q=0.25,0.75",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10236615064832422,0.14554545982026668,0.7033276804012687,1.2263032178739433,-0.31605163715354645,0.32389058816547744,0.9303582830701754,0.4981287425149701,60.86021764236798,2672,,,,,0.25,0.75,,,
17,refine wr=0.2 L=120 k=3,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07002513356056705,0.13922800226678606,0.5029529435205586,1.0250731216243332,-0.3236020641344889,0.21639272835869378,0.6616813934063576,0.4966317365269461,61.2435653094329,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=120 k=5,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07002513356056705,0.13922800226678606,0.5029529435205586,1.0250731216243332,-0.3236020641344889,0.21639272835869378,0.6616813934063576,0.4966317365269461,61.2435653094329,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=120 k=7,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07002513356056705,0.13922800226678606,0.5029529435205586,1.0250731216243332,-0.3236020641344889,0.21639272835869378,0.6616813934063576,0.4966317365269461,61.2435653094329,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=180 k=3,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10949216526074323,0.14158308540435122,0.7733421329817852,1.2837525007774848,-0.2424947596273117,0.4515238408822561,1.0193537153033112,0.5029940119760479,58.715163670261916,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=180 k=5,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10949216526074323,0.14158308540435122,0.7733421329817852,1.2837525007774848,-0.2424947596273117,0.4515238408822561,1.0193537153033112,0.5029940119760479,58.715163670261916,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=180 k=7,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10949216526074323,0.14158308540435122,0.7733421329817852,1.2837525007774848,-0.2424947596273117,0.4515238408822561,1.0193537153033112,0.5029940119760479,58.715163670261916,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=252 k=3,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07531595160405424,0.13220655600923278,0.5696839391141425,1.1099686137411526,-0.26344489111403613,0.2858888296734993,0.734959582868651,0.49251497005988026,59.645909273160285,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=252 k=5,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07531595160405424,0.13220655600923278,0.5696839391141425,1.1099686137411526,-0.26344489111403613,0.2858888296734993,0.734959582868651,0.49251497005988026,59.645909273160285,2672,3.0,0.5,,,,,,,
17,refine wr=0.2 L=252 k=7,30,250,252,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07531595160405424,0.13220655600923278,0.5696839391141425,1.1099686137411526,-0.26344489111403613,0.2858888296734993,0.734959582868651,0.49251497005988026,59.645909273160285,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=120 k=3,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.06790159651229288,0.1431049751323406,0.4744880214646545,1.014132169670202,-0.3147176894393079,0.21575398775094098,0.6205133314298178,0.4981287425149701,64.47844041049622,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=120 k=5,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.06790159651229288,0.1431049751323406,0.4744880214646545,1.014132169670202,-0.3147176894393079,0.21575398775094098,0.6205133314298178,0.4981287425149701,64.47844041049622,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=120 k=7,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.06790159651229288,0.1431049751323406,0.4744880214646545,1.014132169670202,-0.3147176894393079,0.21575398775094098,0.6205133314298178,0.4981287425149701,64.47844041049622,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=180 k=3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.11581582628452969,0.14354932883940694,0.8068015867499905,1.331633973726873,-0.1829700946873707,0.6329768068515065,1.069562325102095,0.5033682634730539,60.37281882492755,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=180 k=5,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.11581582628452969,0.14354932883940694,0.8068015867499905,1.331633973726873,-0.1829700946873707,0.6329768068515065,1.069562325102095,0.5033682634730539,60.37281882492755,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=180 k=7,30,250,180,0.2,0.0,0.3,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.11581582628452969,0.14354932883940694,0.8068015867499905,1.331633973726873,-0.1829700946873707,0.6329768068515065,1.069562325102095,0.5033682634730539,60.37281882492755,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=252 k=3,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08428369328167884,0.13739618760313024,0.6134354580866015,1.160092626115272,-0.2855953710160455,0.2951157540888279,0.805895080170648,0.4943862275449102,61.53868501652396,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=252 k=5,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08428369328167884,0.13739618760313024,0.6134354580866015,1.160092626115272,-0.2855953710160455,0.2951157540888279,0.805895080170648,0.4943862275449102,61.53868501652396,2672,3.0,0.5,,,,,,,
17,refine wr=0.3 L=252 k=7,30,250,252,0.2,0.0,0.3,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08428369328167884,0.13739618760313024,0.6134354580866015,1.160092626115272,-0.2855953710160455,0.2951157540888279,0.805895080170648,0.4943862275449102,61.53868501652396,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=120 k=3,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07588570015307994,0.14578245276223792,0.5205407009912556,1.0693097072270863,-0.31417308933542043,0.24154105723568875,0.7017478690521225,0.49101796407185627,65.80010688024647,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=120 k=5,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07588570015307994,0.14578245276223792,0.5205407009912556,1.0693097072270863,-0.31417308933542043,0.24154105723568875,0.7017478690521225,0.49101796407185627,65.80010688024647,2672,3.0,0.5,,,,,,,
