round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,axis1,axis2,n_cells,dp_dxy,dp_rmb
49,refine k=5 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,M3,0.10460923357686491,0.1484360635140301,0.7047427094223453,1.0188835552450781,-0.1696682111657024,0.6165517562668283,0.8073050643282494,0.3255988023952096,33.11272455089821,2672,,,,,
49,refine k=5 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,M3,0.10460923357686491,0.1484360635140301,0.7047427094223453,1.0188835552450781,-0.1696682111657024,0.6165517562668283,0.8073050643282494,0.3255988023952096,33.11272455089821,2672,,,,,
49,refine k=5 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,M3,0.12383492789409511,0.1478600868322498,0.8375142375953579,1.0754933693137274,-0.16318409061990147,0.7588664276258348,0.8944856150761069,0.3285928143712575,24.77559880239521,2672,,,,,
49,refine k=5 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,M3,0.13615449440422545,0.15518428360543737,0.8773729609784714,1.2019375405399386,-0.15858909722502212,0.8585362851964268,1.0872306315413036,0.33345808383233533,35.00838323353293,2672,,,,,
49,refine k=5 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,M3,0.13615449440422545,0.15518428360543737,0.8773729609784714,1.2019375405399386,-0.15858909722502212,0.8585362851964268,1.0872306315413036,0.33345808383233533,35.00838323353293,2672,,,,,
49,refine k=5 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,M3,0.14876795779021879,0.1539316495199143,0.9664546456443482,1.217010836263047,-0.15734115555733685,0.9455120452322222,1.1741195140977252,0.33532934131736525,26.699550898203597,2672,,,,,
49,refine k=5 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,M3,0.13119586671821648,0.15134601052285143,0.8668604231124247,1.189100637810944,-0.17757841122878415,0.7388052737401144,1.0094180655251825,0.3285928143712575,33.54655688622755,2672,,,,,
49,refine k=5 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,M3,0.13119586671821648,0.15134601052285143,0.8668604231124247,1.189100637810944,-0.17757841122878415,0.7388052737401144,1.0094180655251825,0.3285928143712575,33.54655688622755,2672,,,,,
49,refine k=5 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,M3,0.14193423682509465,0.14974273705980704,0.947853896702892,1.1987101311063697,-0.17181418201031218,0.8260915086542497,1.0787822854846736,0.3345808383233533,25.652694610778443,2672,,,,,
49,refine k=5 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,M3,0.10303009721617529,0.148896141664261,0.6919594830636584,1.0285884311186164,-0.1725516447538119,0.5970971610451671,0.7810200801322895,0.3241017964071856,35.45164670658683,2672,,,,,
