round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,metric,mapping,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,defensive_round,off,full
35,refine k=5 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,,,0.1273466985287126,0.1331703360913244,0.956269258353316,1.3203603933003543,-0.1479580777052668,0.8606944649712727,1.161980597854762,0.4719311377245509,36.492215568862285,2672,31.0,,
35,refine k=5 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,,,0.1273466985287126,0.1331703360913244,0.956269258353316,1.3203603933003543,-0.1479580777052668,0.8606944649712727,1.161980597854762,0.4719311377245509,36.492215568862285,2672,31.0,,
35,refine k=5 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,,,0.13824401879639292,0.13219953021431435,1.0457224664284328,1.3255572395662383,-0.14340703232213525,0.9639974871375578,1.260269085730747,0.4752994011976048,28.485179640718567,2672,31.0,,
35,refine k=5 wr=0.2 L=180 rb=0.6,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.6,rsrs_skew,,,0.13779557979209645,0.13242439734210865,1.040560369220422,1.319004863798122,-0.14340703232213503,0.9608704507779396,1.2569104413793653,0.4749251497005988,28.444311377245512,2672,31.0,,
35,refine k=5 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,,,0.09843314502191247,0.13051353769633403,0.7541987349307545,1.1388431492590205,-0.14320480680227432,0.6873592250141508,0.9041048031546294,0.4648203592814371,38.62050898203593,2672,31.0,,
35,refine k=5 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,,,0.09843314502191247,0.13051353769633403,0.7541987349307545,1.1388431492590205,-0.14320480680227432,0.6873592250141508,0.9041048031546294,0.4648203592814371,38.62050898203593,2672,31.0,,
35,refine k=5 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,,,0.11749427748072239,0.12987838954594347,0.9046484014121511,1.2045702451440892,-0.14320480680227432,0.8204632239960286,1.069261996563612,0.469311377245509,30.32110778443114,2672,31.0,,
35,refine k=5 wr=0.2 L=252 rb=0.6,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.6,rsrs_skew,,,0.11846071632633359,0.1298898229758081,0.9120092214491419,1.2087806109965225,-0.14320480680227432,0.8272118720839771,1.0777339378340967,0.46968562874251496,30.019311377245504,2672,31.0,,
35,refine k=5 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,,,0.12939319145311812,0.1381729749864005,0.9364580263676995,1.3303838205257388,-0.20947672706201692,0.6176972175759192,1.1501722108642276,0.4741766467065868,40.8934131736527,2672,31.0,,
35,refine k=5 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,,,0.12939319145311812,0.1381729749864005,0.9364580263676995,1.3303838205257388,-0.20947672706201692,0.6176972175759192,1.1501722108642276,0.4741766467065868,40.8934131736527,2672,31.0,,
35,refine k=5 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,,,0.14204573368601303,0.13675331906785468,1.0387004473034571,1.3503108386429867,-0.21031882364949117,0.6753828840481758,1.274218301851386,0.47717065868263475,32.50913173652695,2672,31.0,,
35,refine k=5 wr=0.3 L=120 rb=0.6,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.6,rsrs_skew,,,0.14107664203633608,0.13674279562650501,1.0316934167535114,1.3444132495879904,-0.21031882364949117,0.6707751573936562,1.2659318453052102,0.47679640718562877,32.61287425149701,2672,31.0,,
35,refine k=5 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,,,0.12462318469079015,0.13383534789186685,0.9311679362277316,1.3250029010033955,-0.157330379960414,0.7921113819349237,1.1407829029808798,0.468562874251497,39.32155688622755,2672,31.0,,
35,refine k=5 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,,,0.12462318469079015,0.13383534789186685,0.9311679362277316,1.3250029010033955,-0.157330379960414,0.7921113819349237,1.1407829029808798,0.468562874251497,39.32155688622755,2672,31.0,,
35,refine k=5 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,,,0.13529811821132331,0.1320293139515929,1.024758170453941,1.3401186840230714,-0.14320480680227432,0.944787547516698,1.2510750597903975,0.4752994011976048,31.427694610778445,2672,31.0,,
35,refine k=5 wr=0.3 L=180 rb=0.6,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.6,rsrs_skew,,,0.13485083981644275,0.13225444171062867,1.0196318405055536,1.333508934928258,-0.14320480680227432,0.9416641998800637,1.2476690185285508,0.4749251497005988,31.38682634730539,2672,31.0,,
35,refine k=5 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,,,0.0969172286490605,0.13103215325687984,0.7396446310323597,1.1489374740288216,-0.14609659171356648,0.6633777524329528,0.8800129258891551,0.4629491017964072,40.921706586826346,2672,31.0,,
35,refine k=5 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,,,0.0969172286490605,0.13103215325687984,0.7396446310323597,1.1489374740288216,-0.14609659171356648,0.6633777524329528,0.8800129258891551,0.4629491017964072,40.921706586826346,2672,31.0,,
35,refine k=5 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,,,0.11971158622129163,0.13188730743016902,0.9076808720556819,1.227256689730813,-0.14320480680227432,0.8359467038461897,1.0817573256788424,0.46706586826347307,32.509131736526946,2672,31.0,,
35,refine k=5 wr=0.3 L=252 rb=0.6,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.6,rsrs_skew,,,0.12067996173298057,0.13189839669128056,0.9149463887377062,1.2314209442055204,-0.14320480680227432,0.8427088756846393,1.090185589201674,0.46744011976047906,32.20733532934132,2672,31.0,,
35,refine k=5 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,,,0.11501835948884076,0.13969203014255135,0.8233709494483552,1.2459372361260728,-0.20947672706201692,0.5490746447207419,1.0223989127662527,0.4708083832335329,44.32634730538922,2672,31.0,,
35,refine k=5 wr=0.4 L=120 rb=0.2,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,,,0.11501835948884076,0.13969203014255135,0.8233709494483552,1.2459372361260728,-0.20947672706201692,0.5490746447207419,1.0223989127662527,0.4708083832335329,44.32634730538922,2672,31.0,,
