round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,reversal_L,reversal_w,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,multi_horizon_mom,multi_horizon_w,multi_rsrs,multi_rsrs_w,vol_target,vol_lb,skip_mom,bucket_relative
9,"mh-rsrs [(18, 600), (40, 600), (90, 600)]",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.10838825573889466,0.1621133385822913,0.6685955436287253,1.093195034835719,-0.3050350158396946,0.3553305362026242,0.8387769539097927,0.5041167664670658,55.84019461077844,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(40, 600)|(90, 600)",0.3333333333333333|0.3333333333333333|0.3333333333333333,,,,
10,vt=0.08 lb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.02030169365342749,0.05877034104016121,0.3454411407882448,1.0616258553299116,-0.1572467005709689,0.12910727906983896,0.4743013686634158,0.49738023952095806,39.25842348227524,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.08,40.0,,
10,vt=0.08 lb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.018820268763774628,0.05976298641501894,0.31491513213678585,1.0097485416430398,-0.16305533105119718,0.1154225908619039,0.4291408566060782,0.4962574850299401,38.83400028880713,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.08,60.0,,
10,vt=0.08 lb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.016222018631735002,0.05979863385405932,0.2712774119777621,0.9571267086429996,-0.15493268305945207,0.10470365781705435,0.3663487252627001,0.4966317365269461,38.49241599151284,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.08,90.0,,
10,vt=0.1 lb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.02820742564724088,0.07070653146442286,0.3989366337596959,1.0653147759915678,-0.1799313140866542,0.156767741015087,0.5453750125971146,0.49738023952095806,42.98128663117442,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.1,40.0,,
10,vt=0.1 lb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.026127775381225016,0.0720704894920067,0.36253084397495083,1.0083245767868438,-0.18826692227243957,0.1387804881805829,0.490612267474731,0.4981287425149701,42.56596216686108,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.1,60.0,,
10,vt=0.1 lb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.0225201729984994,0.07203347773788273,0.3126348151681137,0.9505674711584169,-0.18120020514512092,0.12428337473714934,0.4191849264882416,0.4977544910179641,42.21065927284927,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.1,90.0,,
10,vt=0.12 lb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.03702216747885534,0.08186572793523621,0.4522303583270339,1.0787321265827008,-0.19429991839473848,0.19054134342785126,0.6150609408924615,0.4966317365269461,45.9092132140078,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.12,40.0,,
10,vt=0.12 lb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.035289819761586294,0.08326482084944427,0.42382628583799836,1.031147308695523,-0.20007524711797176,0.1763827373447057,0.5714717346628196,0.4962574850299401,45.387522712505515,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.12,60.0,,
10,vt=0.12 lb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.030520233453609436,0.08346553474127365,0.36566270794545336,0.9647002582814576,-0.2027462716098758,0.1505341292407904,0.4876532373903089,0.49738023952095806,45.10127025586938,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.12,90.0,,
