round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,off,full,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,w_macro,yield_gate
23,refine L=120 wr=0.3 k=3 rb=0.2,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.08896874996481086,0.14132000163919473,0.6295552570962865,1.059918198423832,-0.23891947961539695,0.37237964065562673,0.7272294454005457,0.5557634730538922,45.23802395209581,2672,,
23,refine L=120 wr=0.3 k=3 rb=0.4,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.09974682981561056,0.14096974307590585,0.7075761623677033,1.084709152586312,-0.20760249942865994,0.48047027415432125,0.8061453639626078,0.5662425149700598,39.4064371257485,2672,,
23,refine L=120 wr=0.3 k=3 rb=0.6,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.09828923816269342,0.14102410377553523,0.6969676497227602,1.066782623251673,-0.210550081079804,0.4668211841031741,0.790135079921052,0.5733532934131736,38.66766467065868,2672,,
23,refine L=120 wr=0.3 k=5 rb=0.0,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.1170824407707356,0.1354825953137453,0.8641880567729062,1.2397556181681881,-0.18707280745472887,0.6258656314818456,0.9932054868432777,0.5755988023952096,37.33630239520958,2672,,
23,refine L=120 wr=0.3 k=5 rb=0.2,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.11958120195456035,0.13557235459627817,0.8820470981024267,1.2278267157449019,-0.185076280504746,0.6461184633083972,1.0090700527458822,0.5774700598802395,34.535254491017966,2672,,
23,refine L=120 wr=0.3 k=5 rb=0.4,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.14772441549093185,0.13355968463161152,1.1060554380492131,1.344827130460092,-0.1366941301998441,1.080693189056192,1.258182107288876,0.5886976047904192,23.5935628742515,2672,,
23,refine L=120 wr=0.3 k=5 rb=0.6,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.14447780479954409,0.1333929170455664,1.0830995228194247,1.3063225145149913,-0.13407036037333786,1.0776267356724127,1.217046624552552,0.5988023952095808,22.094011976047902,2672,,
23,refine L=120 wr=0.3 k=7 rb=0.0,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.1192054207994564,0.1274443962331062,0.935352391496445,1.3043641359532105,-0.15816354076451955,0.7536845737219198,1.0808953704397986,0.5729790419161677,34.432859281437125,2672,,
23,refine L=120 wr=0.3 k=7 rb=0.2,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.12074775935225279,0.12753764889134242,0.9467616848976542,1.2904021767070744,-0.15602739566136414,0.7738881934190525,1.089280706521082,0.5755988023952096,32.24505988023952,2672,,
23,refine L=120 wr=0.3 k=7 rb=0.4,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.12844223801132282,0.12762246261458574,1.0064234412966373,1.2426493410562762,-0.1763494619700171,0.7283392678178997,1.1570968203658174,0.5823353293413174,22.66706586826347,2672,,
23,refine L=120 wr=0.3 k=7 rb=0.6,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.12863042929065616,0.12859632362599227,1.0002652149276294,1.170058005425514,-0.20084043923152206,0.6404608045214208,1.1348038272168672,0.5965568862275449,16.897904191616767,2672,,
23,refine L=120 wr=0.4 k=3 rb=0.0,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.09986951139055789,0.1418308835263137,0.7041450275674919,1.1560318333062856,-0.18969884759022226,0.5264634585777289,0.8549986924498494,0.5583832335329342,46.90419161676646,2672,,
23,refine L=120 wr=0.4 k=3 rb=0.2,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.09986951139055789,0.1418308835263137,0.7041450275674919,1.1560318333062856,-0.18969884759022226,0.5264634585777289,0.8549986924498494,0.5583832335329342,46.90419161676646,2672,,
23,refine L=120 wr=0.4 k=3 rb=0.4,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.10363475202339778,0.14110692369792935,0.7344412967662093,1.132025412562128,-0.1680956265079896,0.6165225959550591,0.8830538893606892,0.5658682634730539,41.24550898203592,2672,,
