round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,override,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,override_sym,dxy_thresh,rmb_thresh,n_changed,pool,off
43,refine k=3 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,0.19480208762866424,0.14856387398199064,1.31123457141592,1.6964296032821387,-0.13305217372766465,1.46410300689556,1.6486637180392576,0.47642215568862273,39.453592814371255,2672,,,,,,
43,refine k=3 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,0.15009890233601597,0.14324891264068654,1.0478187901677924,1.433587837184108,-0.137406100904216,1.092374365827089,1.2833660105367684,0.4723053892215569,39.862275449101794,2672,,,,,,
43,refine k=3 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,0.15009890233601597,0.14324891264068654,1.0478187901677924,1.433587837184108,-0.137406100904216,1.092374365827089,1.2833660105367684,0.4723053892215569,39.862275449101794,2672,,,,,,
43,refine k=3 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,0.15009890233601597,0.14324891264068654,1.0478187901677924,1.433587837184108,-0.137406100904216,1.092374365827089,1.2833660105367684,0.4723053892215569,39.862275449101794,2672,,,,,,
43,refine k=3 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,0.16583356862635323,0.1521953379160385,1.089610042574619,1.5275740819512278,-0.1438190062325746,1.1530713010085616,1.374955054655263,0.47679640718562877,46.99850299401198,2672,,,,,,
43,refine k=3 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,0.16583356862635323,0.1521953379160385,1.089610042574619,1.5275740819512278,-0.1438190062325746,1.1530713010085616,1.374955054655263,0.47679640718562877,46.99850299401198,2672,,,,,,
43,refine k=3 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,0.16583356862635323,0.1521953379160385,1.089610042574619,1.5275740819512278,-0.1438190062325746,1.1530713010085616,1.374955054655263,0.47679640718562877,46.99850299401198,2672,,,,,,
43,refine k=3 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,0.18177535630098407,0.149414085333723,1.2165878196488686,1.623617405767979,-0.1363544533746871,1.3331090536624082,1.5572980397392246,0.4749251497005988,41.96856287425149,2672,,,,,,
43,refine k=3 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,0.18177535630098407,0.149414085333723,1.2165878196488686,1.623617405767979,-0.1363544533746871,1.3331090536624082,1.5572980397392246,0.4749251497005988,41.96856287425149,2672,,,,,,
43,refine k=3 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,0.18177535630098407,0.149414085333723,1.2165878196488686,1.623617405767979,-0.1363544533746871,1.3331090536624082,1.5572980397392246,0.4749251497005988,41.96856287425149,2672,,,,,,
43,refine k=3 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,0.1648512933537325,0.14797731371145983,1.1140308552645788,1.519376748843035,-0.17942077675444623,0.9187971222493736,1.4367617864565834,0.468937125748503,42.377245508982035,2672,,,,,,
43,refine k=3 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,0.1648512933537325,0.14797731371145983,1.1140308552645788,1.519376748843035,-0.17942077675444623,0.9187971222493736,1.4367617864565834,0.468937125748503,42.377245508982035,2672,,,,,,
43,refine k=3 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,0.1648512933537325,0.14797731371145983,1.1140308552645788,1.519376748843035,-0.17942077675444623,0.9187971222493736,1.4367617864565834,0.468937125748503,42.377245508982035,2672,,,,,,
43,refine k=3 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,0.16908350340195377,0.15283336281773754,1.1063258720780451,1.5554360597226324,-0.14447267826394217,1.1703493382537646,1.4640151085280735,0.4723053892215569,48.00449101796407,2672,,,,,,
43,refine k=3 wr=0.4 L=120 rb=0.2,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,,0.16908350340195377,0.15283336281773754,1.1063258720780451,1.5554360597226324,-0.14447267826394217,1.1703493382537646,1.4640151085280735,0.4723053892215569,48.00449101796407,2672,,,,,,
43,refine k=3 wr=0.4 L=120 rb=0.4,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,,0.16908350340195377,0.15283336281773754,1.1063258720780451,1.5554360597226324,-0.14447267826394217,1.1703493382537646,1.4640151085280735,0.4723053892215569,48.00449101796407,2672,,,,,,
43,refine k=3 wr=0.4 L=180 rb=0.0,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,0.16534563756212828,0.15090512360981564,1.0956926683924293,1.516772736887551,-0.12917858415283334,1.2799771622090632,1.410771968650085,0.47342814371257486,44.232035928143716,2672,,,,,,
43,refine k=3 wr=0.4 L=180 rb=0.2,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,,0.16534563756212828,0.15090512360981564,1.0956926683924293,1.516772736887551,-0.12917858415283334,1.2799771622090632,1.410771968650085,0.47342814371257486,44.232035928143716,2672,,,,,,
43,refine k=3 wr=0.4 L=180 rb=0.4,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,,0.16534563756212828,0.15090512360981564,1.0956926683924293,1.516772736887551,-0.12917858415283334,1.2799771622090632,1.410771968650085,0.47342814371257486,44.232035928143716,2672,,,,,,
43,refine k=3 wr=0.4 L=252 rb=0.0,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,0.16982351322976807,0.1493671828568879,1.1369533118428017,1.5773466122330313,-0.13604884372840353,1.2482539989004937,1.5068768326426039,0.46781437125748504,45.709580838323355,2672,,,,,,
43,refine k=3 wr=0.4 L=252 rb=0.2,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,,0.16982351322976807,0.1493671828568879,1.1369533118428017,1.5773466122330313,-0.13604884372840353,1.2482539989004937,1.5068768326426039,0.46781437125748504,45.709580838323355,2672,,,,,,
43,refine k=3 wr=0.4 L=252 rb=0.4,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,,0.16982351322976807,0.1493671828568879,1.1369533118428017,1.5773466122330313,-0.13604884372840353,1.2482539989004937,1.5068768326426039,0.46781437125748504,45.709580838323355,2672,,,,,,
43,refine k=5 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,,0.1944641429606777,0.1480660563598056,1.3133607238658613,1.6869011580506121,-0.11110048656495686,1.7503446562043707,1.6456146826935938,0.48278443113772457,38.49161676646707,2672,,,,,,
43,refine k=5 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,,0.1944641429606777,0.1480660563598056,1.3133607238658613,1.6869011580506121,-0.11110048656495686,1.7503446562043707,1.6456146826935938,0.48278443113772457,38.49161676646707,2672,,,,,,
43,refine k=5 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,,0.20227863505378796,0.1480049228906433,1.3667020738441653,1.648991692382076,-0.13078535983090722,1.5466458578797704,1.7305632753530886,0.48577844311377244,29.72065868263473,2672,,,,,,
43,refine k=5 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,,0.1836708422838298,0.143169514713999,1.2828907232851758,1.6411623915481837,-0.14097440616446144,1.3028665789842624,1.6176920537839155,0.4786676646706587,35.83203592814371,2672,,,,,,
43,refine k=5 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,,0.1836708422838298,0.143169514713999,1.2828907232851758,1.6411623915481837,-0.14097440616446144,1.3028665789842624,1.6176920537839155,0.4786676646706587,35.83203592814371,2672,,,,,,
43,refine k=5 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,,0.19511347390157696,0.14224809486236015,1.3716420883553455,1.6472316682515176,-0.14423005833286662,1.352793420157102,1.714938781540712,0.4824101796407186,27.825000000000003,2672,,,,,,
43,refine k=5 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,,0.1528877034294156,0.14073177968016526,1.086376536819733,1.4666762634534418,-0.14322378696460247,1.0674742420209957,1.3719110622942219,0.4719311377245509,38.343862275449105,2672,,,,,,
43,refine k=5 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,,0.1528877034294156,0.14073177968016526,1.086376536819733,1.4666762634534418,-0.14322378696460247,1.0674742420209957,1.3719110622942219,0.4719311377245509,38.343862275449105,2672,,,,,,
43,refine k=5 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,,0.1729663072331602,0.14011434598059544,1.2344653648607435,1.5315555552095397,-0.1339831180944424,1.2909559778362465,1.538695573667562,0.47679640718562877,29.99730538922156,2672,,,,,,
43,refine k=5 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,,0.18563394316244097,0.14780158326055753,1.2559672167732416,1.6461305967867816,-0.11110048656495675,1.670865258127443,1.6015618669485132,0.4805389221556886,40.34011976047904,2672,,,,,,
43,refine k=5 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,,0.18563394316244097,0.14780158326055753,1.2559672167732416,1.6461305967867816,-0.11110048656495675,1.670865258127443,1.6015618669485132,0.4805389221556886,40.34011976047905,2672,,,,,,
43,refine k=5 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,,0.19891495808177528,0.14646937009205813,1.3580652252191319,1.6671383828285362,-0.11110048656495686,1.7904058229796873,1.7293864710497495,0.4839071856287425,31.955838323353294,2672,,,,,,
43,refine k=5 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,,0.18084687206565153,0.1437912466671428,1.2577043196814857,1.6451304015293606,-0.1504235275042327,1.2022512373309604,1.5973113594575594,0.47567365269461076,38.62365269461078,2672,,,,,,
43,refine k=5 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,,0.18084687206565153,0.1437912466671428,1.2577043196814857,1.6451304015293606,-0.1504235275042327,1.2022512373309604,1.5973113594575594,0.47567365269461076,38.62365269461078,2672,,,,,,
43,refine k=5 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,,0.19205644395091204,0.14209275607468977,1.3516272697952267,1.6617880544031687,-0.13844185762329198,1.3872715033448073,1.710862812229406,0.48278443113772457,30.729790419161677,2672,,,,,,
43,refine k=5 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,,0.15129798254958393,0.14120609285420538,1.0714692226899754,1.4759687958961858,-0.15459955784833046,0.9786443419069443,1.3451313664925215,0.47005988023952094,40.64505988023952,2672,,,,,,
43,refine k=5 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,,0.15129798254958393,0.14120609285420538,1.0714692226899754,1.4759687958961858,-0.15459955784833046,0.9786443419069443,1.3451313664925215,0.47005988023952094,40.64505988023952,2672,,,,,,
43,refine k=5 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,,0.17527229955210144,0.14197045545571182,1.2345688332793878,1.5514768025103758,-0.13390255450423216,1.308954113691399,1.5493630815759616,0.4749251497005988,32.18532934131736,2672,,,,,,
43,refine k=5 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,,0.17046331037076246,0.14924227586813646,1.1421918446310475,1.5615865135693612,-0.11231052899057492,1.5177856600165038,1.4718600282986507,0.47679640718562877,43.81077844311377,2672,,,,,,
43,refine k=5 wr=0.4 L=120 rb=0.2,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,,0.17046331037076246,0.14924227586813646,1.1421918446310475,1.5615865135693612,-0.11231052899057492,1.5177856600165038,1.4718600282986507,0.47679640718562877,43.81077844311377,2672,,,,,,
43,refine k=5 wr=0.4 L=120 rb=0.4,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,,0.19248632210425876,0.1444978202196187,1.3321053688678728,1.662548971088974,-0.11110048656495708,1.732542566244459,1.6862357896188647,0.4846556886227545,33.61571856287425,2672,,,,,,
43,refine k=5 wr=0.4 L=180 rb=0.0,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,,0.18120847557736264,0.14413191402989128,1.2572404716680727,1.6545514882470267,-0.12329746287024823,1.4696853557161749,1.5586528805347002,0.47754491017964074,39.529041916167664,2672,,,,,,
43,refine k=5 wr=0.4 L=180 rb=0.2,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,,0.18120847557736264,0.14413191402989128,1.2572404716680727,1.6545514882470267,-0.12329746287024823,1.4696853557161749,1.5586528805347002,0.47754491017964074,39.529041916167664,2672,,,,,,
43,refine k=5 wr=0.4 L=180 rb=0.4,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,,0.18825590455230623,0.14268075005644756,1.319420485789626,1.6428227294019233,-0.13206707387534145,1.4254567700197676,1.6282154009591912,0.48166167664670656,32.12559880239521,2672,,,,,,
43,refine k=5 wr=0.4 L=252 rb=0.0,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,,0.159843240005765,0.1440895749964971,1.1093324413626098,1.5302372719989843,-0.14165267350421062,1.12841668322634,1.3832415632612824,0.46968562874251496,42.68218562874252,2672,,,,,,
43,refine k=5 wr=0.4 L=252 rb=0.2,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,,0.159843240005765,0.1440895749964971,1.1093324413626098,1.5302372719989843,-0.14165267350421062,1.12841668322634,1.3832415632612824,0.46968562874251496,42.68218562874252,2672,,,,,,
43,refine k=5 wr=0.4 L=252 rb=0.4,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,,0.1623723861970603,0.1450033140427355,1.1197839667940677,1.4345724538214772,-0.16420711188925174,0.9888267586520316,1.396754890289199,0.47043413173652693,32.826646706586835,2672,,,,,,
43,refine k=7 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,,0.19323646484310086,0.14080419479037146,1.3723771875602875,1.733222632162579,-0.11628292928853146,1.6617784400978197,1.7448552966626343,0.47979041916167664,35.58413173652695,2672,,,,,,
