rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,rebal_threshold,theta_off,theta_on,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n,gross_sharpe,ann_turnover,ann_capped_turnover
24,250,180,0.5,0.0,0.4,5,0.4,-1.0,0.5,0.09102540760853306,0.14585074861004588,0.6240996942148258,-0.3230805429085948,0.28174215255756135,0.7911298897587886,0.5063622754491018,2672,1.1567999743584476,63.52971556886228,63.52971556886228
30,250,180,0.0,0.2,0.5,3,0.0,-1.0,0.5,0.09988146413916543,0.16100320081138672,0.620369431388978,-0.3253450628698541,0.3070016285420641,0.8281333643331575,0.49513473053892215,2672,1.2153221320514522,73.93226047904191,73.93157297246044
18,600,180,0.5,0.2,0.3,8,0.0,-1.0,0.5,0.08401022232099642,0.13546862494161757,0.6201452355274294,-0.28238628897779017,0.29750106715557945,0.7662070067434069,0.49738023952095806,2672,1.3242349026624631,77.13761227544911,77.13761227544911
30,600,252,0.5,0.2,0.3,3,0.4,-1.0,0.5,0.09543051560291027,0.15396627723154765,0.6198143990933398,-0.3279120772081553,0.2910247052057553,0.8107073694056959,0.4958832335329341,2672,1.0657774128561788,54.952095808383234,54.952095808383234
30,250,120,0.0,0.0,0.3,5,0.4,-0.7,0.7,0.08730549821442835,0.14213220270400845,0.6142555772265262,-0.3286672316752407,0.2656349334535904,0.7815361263007685,0.5063622754491018,2672,1.0777715792665206,54.79805389221557,54.79805389221557
24,600,120,0.5,0.2,0.5,5,0.1,-0.7,0.7,0.08586900323891578,0.14026476865399634,0.612192242306666,-0.317888816217922,0.2701227563163156,0.7956082343057281,0.501122754491018,2672,1.3023122501252216,77.09011976047904,77.09011976047904
24,600,252,0.5,0.2,0.3,8,0.0,-1.0,0.5,0.08519321981496208,0.13978807759508333,0.6094455355608849,-0.3345676738249621,0.25463673415003374,0.7592230473054263,0.5104790419161677,2672,1.159886372802857,62.251684131736525,62.251684131736525
30,250,180,0.0,0.2,0.5,8,0.4,-0.7,0.7,0.0786974619518932,0.12933832257169228,0.6084620581674172,-0.2837737934857958,0.27732462883621556,0.7684921683565795,0.5026197604790419,2672,1.107659294031529,53.89030688622754,53.89030688622754
14,600,120,0.0,0.2,0.4,8,0.2,-0.5,1.0,0.07282083935824835,0.1201517344238351,0.6060739756063189,-0.33355778672976644,0.21831551309951738,0.8084400739921481,0.500374251497006,2672,1.5743996492957208,97.73937125748503,97.73937125748503
14,600,120,0.0,0.0,0.5,8,0.2,-0.5,1.0,0.07297782519091589,0.12062929733094759,0.6049759619398309,-0.32786735387983934,0.2225833841867088,0.8248327810762921,0.4966317365269461,2672,1.603339777573219,100.33293413173652,100.33293413173652
24,250,252,0.0,0.2,0.5,5,0.4,-1.0,0.5,0.09167338989423413,0.1525479357293169,0.6009480853080871,-0.3618635804066789,0.253336878475605,0.7391751276722884,0.5101047904191617,2672,1.1255312943310023,65.04341317365271,65.04341317365271
24,250,180,0.0,0.0,0.4,5,0.2,-0.7,0.7,0.08339705218204307,0.13996704445862687,0.5958334871227103,-0.29089396342935214,0.2866922750780879,0.7361593812919238,0.5071107784431138,2672,1.266227944204123,75.97881736526948,75.97881736526948
24,600,120,0.3,0.2,0.4,5,0.4,-0.5,1.0,0.07732452413896507,0.13174982166008942,0.5869042034717893,-0.3294533302851784,0.23470554713176556,0.7325137198330911,0.4977544910179641,2672,1.1541731831777868,63.86766467065869,63.86766467065869
30,600,252,0.3,0.0,0.3,8,0.2,-1.0,0.5,0.08038990709985239,0.1378154372045751,0.5833156918445974,-0.26029002707632887,0.3088474345437692,0.7322045356594598,0.5071107784431138,2672,1.0395999556574471,51.217702095808384,51.21625080993639
30,600,120,0.0,0.2,0.3,8,0.0,-0.5,1.0,0.06927955075817449,0.11902733215760952,0.5820474129961871,-0.23394696434749962,0.2961335743398157,0.7468899403367327,0.5033682634730539,2672,1.1679302767775035,58.40602544910179,58.40602544910179
30,600,120,0.0,0.0,0.4,8,0.0,-0.5,1.0,0.06800099031704665,0.11886175329172702,0.5721015249552073,-0.2394699884038537,0.28396456178202384,0.7437754159651416,0.49925149700598803,2672,1.1764323128455825,59.962163173652684,59.9621631736527
14,600,120,0.0,0.2,0.3,8,0.2,-1.0,0.5,0.08109394081885135,0.14204937474319757,0.5708855879545838,-0.3193870664966747,0.2539048988688328,0.7229285954653358,0.5044910179640718,2672,1.3102880995121942,85.17035928143713,85.17035928143713
30,250,120,0.0,0.2,0.3,8,0.4,-1.0,0.5,0.07717622435335358,0.13813208340431846,0.5587132435225458,-0.2813249251459129,0.2743312712633803,0.7092137299383778,0.5074850299401198,2672,1.0242466064638798,53.50935628742516,53.50935628742516
24,600,60,0.3,0.0,0.3,5,0.1,-0.5,1.0,0.07771010069378459,0.13972177229609742,0.5561774619427378,-0.3325927585006643,0.23364940669214654,0.7215856217852301,0.49513473053892215,2672,1.2524749957570105,79.00778443113772,78.99742146233054
30,250,180,0.0,0.0,0.3,8,0.4,-1.0,0.5,0.07755785322766107,0.14012068693457191,0.5535075150172223,-0.3245693164261354,0.23895620843540666,0.6930930060986473,0.5037425149700598,2672,1.006183764547227,52.71545658682635,52.71545658682635
24,600,180,0.3,0.0,0.5,8,0.0,-0.5,1.0,0.06671457088980137,0.1208169282091968,0.5521955563568363,-0.2915454597033761,0.22883076607565095,0.695096320050158,0.49251497005988026,2672,1.2624273745799064,71.86089071856287,71.86089071856287
