trade_date,gate,abs_ret,exc_ret,uni,tov,cost,abs_net,exc_net
2019-07-26,1,-0.0196455594045816,-0.0046647314350038,-0.0149808279695777,0.7087912087912087,0.0003543956043956,-0.0199999550089772,-0.0050191270393994
2019-08-23,1,0.0714736454096856,0.0020616325144578,0.0694120128952278,0.7374149659863946,0.0003687074829931,0.0711049379266925,0.0016929250314646
2019-09-23,1,-0.0239310526712604,0.0035488395263715,-0.027479892197632,0.7059620596205962,0.0003529810298102,-0.0242840337010707,0.0031958584965612
2019-10-28,1,-0.0474204736502755,-0.0077114231587258,-0.0397090504915497,0.7244623655913979,0.0003622311827956,-0.0477827048330712,-0.0080736543415215
2019-11-25,0,0.064282895198083,0.0,0.064282895198083,1.0,0.0005,0.063782895198083,-0.0005
2019-12-23,1,0.050639610728723,-0.0082429744134108,0.0588825851421339,1.0,0.0005,0.050139610728723,-0.0087429744134108
2020-01-21,0,0.0211569926315288,0.0,0.0211569926315288,1.0,0.0005,0.0206569926315288,-0.0005
2020-02-26,1,-0.041210516497205,0.0253737096686722,-0.0665842261658772,1.0,0.0005,-0.041710516497205,0.0248737096686722
2020-03-25,1,0.0136887940868767,0.0059693569815575,0.0077194371053192,0.7565104166666666,0.0003782552083333,0.0133105388785433,0.0055911017732241
2020-04-23,1,0.0067958305124735,-0.0021192802729979,0.0089151107854715,0.7377260981912145,0.0003688630490956,0.0064269674633779,-0.0024881433220936
2020-05-26,0,0.0659087928597016,0.0,0.0659087928597016,1.0,0.0005,0.0654087928597016,-0.0005
2020-06-23,0,0.0902048079937667,0.0,0.0902048079937667,0.0,0.0,0.0902048079937667,0.0
2020-07-23,1,0.0802657355942557,0.0077270998624382,0.0725386357318174,1.0,0.0005,0.0797657355942557,0.0072270998624382
2020-08-20,1,-0.0044116520668005,0.0062147406767023,-0.0106263927435028,0.7805800756620429,0.000390290037831,-0.0048019421046315,0.0058244506388713
2020-09-17,1,-0.0314797804035893,-0.0062520049597788,-0.0252277754438104,0.7898009950248757,0.0003949004975124,-0.0318746809011017,-0.0066469054572913
2020-10-23,1,0.0258605032976125,0.0055187295422975,0.020341773755315,0.7435582822085889,0.0003717791411042,0.0254887241565082,0.0051469504011932
2020-11-20,1,-0.0415367444263977,-0.0055429381626538,-0.0359938062637439,0.7548543689320388,0.000377427184466,-0.0419141716108637,-0.0059203653471198
2020-12-18,0,-0.0423855852510546,0.0,-0.0423855852510546,1.0,0.0005,-0.0428855852510546,-0.0005
2021-01-18,1,-0.0113565150317018,-0.0048228452131457,-0.0065336698185561,1.0,0.0005,-0.0118565150317018,-0.0053228452131457
2021-02-22,1,0.0191687528523911,0.0078955967676139,0.0112731560847772,0.7683215130023641,0.0003841607565011,0.0187845920958899,0.0075114360111127
2021-03-22,1,0.035329205231702,0.0097828728360214,0.0255463323956805,0.7482435597189696,0.0003741217798594,0.0349550834518425,0.0094087510561619
2021-04-20,1,-0.0042849627051946,-0.0090732078525304,0.0047882451473357,0.8032596041909197,0.0004016298020954,-0.0046865925072901,-0.0094748376546258
2021-05-21,1,0.0660093815668248,0.005603238441642,0.0604061431251828,0.7502876869965478,0.0003751438434982,0.0656342377233266,0.0052280945981437
2021-06-21,1,0.0102578680791295,-0.0043982788880717,0.0146561469672013,0.7437357630979499,0.0003718678815489,0.0098860001975806,-0.0047701467696206
2021-07-19,1,0.0090765334757621,0.0023137703137832,0.0067627631619789,0.7334083239595051,0.0003667041619797,0.0087098293137824,0.0019470661518034
2021-08-16,1,0.074669250315946,0.0103269443943153,0.0643423059216306,0.7144444444444444,0.0003572222222222,0.0743120280937237,0.0099697221720931
2021-09-13,1,-0.0357972569418016,0.0085140403655853,-0.044311297307387,0.7603938730853392,0.0003801969365426,-0.0361774538783443,0.0081338434290426
