,gold_only,reversal_ensemble_only,winner_55gold
2019-09-27,1.1888653981677222,1.3115109099310007,1.2492260837042877
2019-09-30,1.1867512332628596,1.2957789083369728,1.2412610625323517
2019-10-08,1.1849894291754741,1.3092173662015936,1.2460404377684386
2019-10-09,1.2022551092318519,1.3222203006617166,1.2615947670958019
2019-10-10,1.195560253699787,1.3255810979913754,1.2591738709728473
2019-10-11,1.1906272022551077,1.3439797601872283,1.2641809568695985
2019-10-14,1.173009161381253,1.3637239294849979,1.2622497535991648
2019-10-15,1.1761804087385468,1.3581331088835522,1.2617979700276434
2019-10-16,1.1712473572938673,1.3540016301180093,1.2571600006017667
2019-10-17,1.1797040169133177,1.349791606041639,1.2603933221179626
2019-10-18,1.1779422128259323,1.324675384107308,1.2488043175410815
2019-10-21,1.1782945736434094,1.3328270246295004,1.2524679135323005
2019-10-22,1.173009161381253,1.3341582689255644,1.249940884625928
2019-10-23,1.1782945736434094,1.324447723312198,1.2489446054528042
2019-10-24,1.1758280479210699,1.3335075527559088,1.2513511848893206
2019-10-25,1.1878083157152912,1.3420596814470402,1.2619749088321042
2019-10-28,1.1860465116279058,1.3593439517683978,1.268259202301162
2019-10-29,1.1747709654686387,1.3444405661415666,1.2553706381260228
2019-10-30,1.1733615221987304,1.3308977174201144,1.2488517267901924
2019-10-31,1.1751233262861158,1.3274542601792467,1.248429030666138
2019-11-01,1.1839323467230431,1.3444622565086872,1.2607741956337324
2019-11-04,1.1825229034531348,1.3447338894268521,1.2600633148446165
2019-11-05,1.17582804792107,1.3536197017419958,1.2598865414370148
2019-11-06,1.1582100070472152,1.3534162994054038,1.249418705513002
2019-11-07,1.164552501761803,1.3531610819407798,1.2530757630280736
2019-11-08,1.1434108527131772,1.342781671912179,1.23623869475453
2019-11-11,1.1416490486257918,1.3174528367992948,1.2246974311391394
2019-11-12,1.1314305849189559,1.3193634259656133,1.2194676755127425
2019-11-13,1.1420014094432689,1.3129313996997887,1.2230587540694484
2019-11-14,1.1448202959830858,1.31801621453162,1.2268507229012078
2019-11-15,1.142001409443269,1.3061317951915064,1.220211169363031
2019-11-18,1.1427061310782232,1.3161993482598497,1.2248576886439646
2019-11-19,1.1504580690627193,1.3307931489495144,1.2355392300571502
2019-11-20,1.1539816772374902,1.3192487846795995,1.232797411557361
2019-11-21,1.1515151515151505,1.3215167946355084,1.2323018922934823
2019-11-22,1.149048625792811,1.3122670860362822,1.2269687595073702
2019-11-25,1.1409443269908377,1.3088687691483416,1.2207792883799187
2019-11-26,1.1402396053558836,1.307819683988027,1.219924254441274
2019-11-27,1.1427061310782232,1.3122646554125905,1.2232414536285792
2019-11-28,1.1398872445384063,1.3098259366291027,1.2205588233073017
2019-11-29,1.1405919661733606,1.3153830160320499,1.2233041103091364
2019-12-02,1.1430584918957,1.3261218738099332,1.2292532793220334
2019-12-03,1.1455250176180396,1.3374083247732016,1.2354200717195343
2019-12-04,1.1659619450317114,1.3388606070704938,1.2481461552045356
2019-12-05,1.160676532769555,1.3570582676586769,1.2526683821975542
2019-12-06,1.1536293164200129,1.364887960086153,1.251737546897119
2019-12-09,1.1448202959830855,1.370814686695717,1.2489264831522606
2019-12-10,1.146582100070471,1.3750553533606182,1.2517222127842678
2019-12-11,1.1476391825229024,1.3724575411739706,1.2512927586208153
2019-12-12,1.1529245947850588,1.3777845784676486,1.2566478279869087
2019-12-13,1.1395348837209291,1.4034381475016198,1.2591500836657192
2019-12-16,1.1515151515151503,1.4243584570566203,1.2748771511640484
2019-12-17,1.1508104298801962,1.4455291287124938,1.2829750295035374
2019-12-18,1.1511627906976734,1.4437281512705937,1.2824717812485913
2019-12-19,1.1508104298801962,1.4381452540422222,1.2800241834513333
2019-12-20,1.153629316420013,1.4321909772570842,1.279363822176301
2019-12-23,1.1585623678646924,1.4244113472894013,1.279245446527079
2019-12-24,1.1631430584918947,1.4309021644073783,1.2846504542677253
2019-12-25,1.1715997181113451,1.4322638295737167,1.2903376199634278
2019-12-26,1.1715997181113451,1.4396427585642915,1.2933291004879937
2019-12-27,1.175475687103593,1.44203177938656,1.2966481750159706
2019-12-30,1.174770965468639,1.452659340292684,1.3005208705209939
2019-12-31,1.1825229034531348,1.4611122256593223,1.3086462400832874
2020-01-02,1.1775898520084556,1.465059164139001,1.307234469904841
2020-01-03,1.1969696969696957,1.4735046788311736,1.3224579301367956
2020-01-06,1.223396758280478,1.481822432923534,1.3418759270655995
2020-01-07,1.2117688513037337,1.4844027179989587,1.3359126931036982
2020-01-08,1.235024665257222,1.4894100112269306,1.3520416561757331
2020-01-09,1.190627202255108,1.48154365740944,1.322096042455345
2020-01-10,1.1952078928823104,1.4895347619322326,1.3281025981677625
2020-01-13,1.1945031712473562,1.4991630905886986,1.3315350797087002
2020-01-14,1.179351656095841,1.482434605625409,1.315559656999885
2020-01-15,1.189570119802677,1.4835519165298814,1.3222750978055644
2020-01-16,1.1902748414376312,1.4858572170571553,1.3236305450511432
2020-01-17,1.1899224806201538,1.488521727707889,1.324483152950929
2020-01-20,1.1913319238900621,1.5018182868558978,1.3306700696835057
2020-01-21,1.2019027484143752,1.498787249817108,1.3359554948829722
2020-01-22,1.1916842847075395,1.4939578111866114,1.3277713620553273
2020-01-23,1.1997885835095126,1.47214505838529,1.3240138998845687
2020-02-03,1.2311486962649743,1.400993333378402,1.3142513028534188
2020-02-04,1.2209302325581384,1.4171204630748193,1.3150596677829176
2020-02-05,1.2124735729386882,1.4316731102463085,1.316126972171311
2020-02-06,1.2071881606765318,1.4532911531541617,1.3219144716312454
2020-02-07,1.2124735729386882,1.456858579095908,1.326557935474655
2020-02-10,1.2167019027484132,1.459415360440651,1.3301499829400143
2020-02-11,1.2135306553911194,1.459450955362014,1.3282577639513116
2020-02-12,1.2110641296687796,1.471014202241784,1.3315086337198503
2020-02-13,1.2202255109231843,1.464369698338449,1.3343420518045506
2020-02-14,1.2212825933756157,1.4721439515340196,1.3381655945539535
2020-02-17,1.2251585623678636,1.5131198270847008,1.3572624158896702
2020-02-18,1.2311486962649743,1.5168858694523344,1.3624323861833008
2020-02-19,1.2455954897815353,1.5136153361883835,1.369903533816661
2020-02-20,1.2494714587737832,1.5420570082515455,1.3838316260154073
2020-02-21,1.2748414376321342,1.5586217960123003,1.405974891552036
2020-02-24,1.302677942212825,1.5682979830961938,1.4267876410452005
2020-02-25,1.2762508809020428,1.5593635725897597,1.4072102699306699
2020-02-26,1.2829457364341077,1.5455677165909392,1.405667894704596
2020-02-27,1.283650458069062,1.5463178037190037,1.4063995540280523
2020-02-28,1.2663847780126842,1.4922962684193812,1.3738853294967233
2020-03-02,1.2374911909795625,1.5416897890470327,1.3771082716918164
2020-03-03,1.2353770260747,1.5469683529183484,1.377936067105456
2020-03-04,1.2628611698379135,1.5718538550991106,1.4047715766632283
2020-03-05,1.261804087385482,1.6146670137254198,1.421342873538626
2020-03-06,1.2889358703312184,1.582932283832577,1.4255813002944528
2020-03-09,1.279774489076814,1.5294526554534342,1.39833478607346
2020-03-10,1.2632135306553904,1.5618420734427991,1.4017081538469112
2020-03-11,1.2751937984496118,1.547947743849107,1.403408322022918
2020-03-12,1.261099365750528,1.528252008159625,1.386841472437952
2020-03-13,1.224101479915433,1.5108733963027876,1.3573669377770152
2020-03-16,1.1927413671599714,1.4600364873648861,1.317688794576528
2020-03-17,1.1374207188160674,1.4424519544017218,1.2769335287102448
2020-03-18,1.1634954193093725,1.403895710114598,1.2776742537778867
2020-03-19,1.1589147286821702,1.3667814982195554,1.259707830009736
2020-03-20,1.16983791402396,1.4044261016890627,1.2818510742766653
2020-03-23,1.1666666666666663,1.3576416917052982,1.2607243514409063
2020-03-24,1.2315010570824523,1.3987886856611798,1.3164524626213026
2020-03-25,1.2529950669485552,1.4423031936162833,1.3475185634450968
2020-03-26,1.2427766032417196,1.4400705532591018,1.3405357723877231
2020-03-27,1.2618040873854826,1.4571119155499472,1.3589626685178482
2020-03-30,1.251585623678647,1.4395318854269483,1.3455316255090901
2020-03-31,1.2533474277660324,1.4380220501337264,1.3459382919269276
2020-04-01,1.2325581395348837,1.4385005854850998,1.3338610417983323
2020-04-02,1.2392529950669484,1.467565686841163,1.3499737270671093
2020-04-03,1.2501761804087386,1.4621496119464237,1.3542762950778011
2020-04-07,1.2847075405214938,1.486634348842574,1.3850552410138295
2020-04-08,1.2734319943622268,1.4845963394821071,1.3775148513178062
2020-04-09,1.2762508809020436,1.4831673751346939,1.3785953055206197
2020-04-10,1.2829457364341086,1.477281178918534,1.3801107216435669
2020-04-13,1.2825933756166314,1.4652003653082741,1.3748234649797793
2020-04-14,1.2973925299506694,1.4862328013398676,1.3924291045329276
2020-04-15,1.2931642001409442,1.4804442256015755,1.3874927164882318
2020-04-16,1.3037350246652573,1.4818904840966938,1.394340716781859
2020-04-17,1.2811839323467231,1.5010401286959523,1.3891838670239487
2020-04-20,1.276603241719521,1.5068802050022903,1.3888843064750802
2020-04-21,1.2871740662438338,1.4850922889919131,1.386172796245713
2020-04-22,1.285059901338971,1.4921023287809643,1.3878649741403983
2020-04-23,1.3072586328400282,1.492270914903147,1.4011215872784242
2020-04-24,1.3185341789992953,1.4831527209746496,1.4039158567652354
2020-04-27,1.3079633544749825,1.489489438469149,1.4004246020907025
2020-04-28,1.2977448907681466,1.5002642252965275,1.3989658787763157
2020-04-29,1.3033826638477801,1.506130011553843,1.4047698838718672
2020-04-30,1.3093727977448908,1.548584143390164,1.4261394016911826
2020-05-06,1.3072586328400282,1.566878080231063,1.4324542716842057
2020-05-07,1.3016208597603947,1.5583418833595049,1.4255447953209361
2020-05-08,1.3178294573643412,1.5776751688332797,1.4432668652637568
2020-05-11,1.3121916842847077,1.5772668514237003,1.4397028541625332
2020-05-12,1.3100775193798448,1.57455580638894,1.4373135017208305
2020-05-13,1.3128964059196615,1.569592090548182,1.4369754848827434
2020-05-14,1.321353065539112,1.5573323172618574,1.4370154502421977
2020-05-15,1.3403805496828751,1.571399828965758,1.454237918377221
2020-05-18,1.3731501057082451,1.5580153140422823,1.4682181819168707
2020-05-19,1.3509513742071881,1.579692555182893,1.4643561233223916
2020-05-20,1.3657505285412261,1.569221666530178,1.4688110513561132
2020-05-21,1.3548273431994362,1.5489522178233803,1.4538123445546767
2020-05-22,1.3516560958421422,1.5231747509107345,1.4410533540535109
2020-05-25,1.3481324876673713,1.5122573443204914,1.4343392336780578
2020-05-26,1.3555320648343903,1.5307338361997218,1.4465552696526112
2020-05-27,1.3410852713178294,1.5192607466552221,1.4331970104406813
2020-05-28,1.3513037350246653,1.5246627509686657,1.4414963780456354
2020-05-29,1.3495419309372798,1.5198023964337308,1.4383948548020797
2020-06-01,1.361169837914024,1.5643558351537703,1.4641863981483392
2020-06-02,1.3583509513742071,1.5676569118021322,1.4639090389177087
2020-06-03,1.3463706835799858,1.5648601419721015,1.4556325903649163
2020-06-04,1.3347427766032416,1.5574341336634603,1.4456097881736776
2020-06-05,1.3350951374207187,1.5677343872208647,1.4501219951962905
2020-06-08,1.3227625088090202,1.5715992801726861,1.4443633817931725
2020-06-09,1.321353065539112,1.5798378751793567,1.4469241459281201
2020-06-10,1.33615221987315,1.5731665188101203,1.4530876595872506
2020-06-11,1.3481324876673713,1.56335377155725,1.4561747805908243
2020-06-12,1.346723044397463,1.5596387402053318,1.4537803082422143
2020-06-15,1.3428470754052149,1.5479596122528185,1.4465801698643421
2020-06-16,1.3417899929527837,1.5707419162842982,1.4555344698190293
2020-06-17,1.343199436222692,1.569361841673959,1.4557998940171002
2020-06-18,1.3410852713178296,1.5890984122040954,1.46277840450951
2020-06-19,1.3439041578576463,1.611428723452457,1.4737193351903788
2020-06-22,1.3587033121916843,1.6241969494315316,1.4878997988479978
2020-06-23,1.3558844256518676,1.6255744767401958,1.4867698563046867
2020-06-24,1.3661028893587035,1.629953041540187,1.4947346422918106
2020-06-29,1.3661028893587035,1.6061757095857192,1.484922481824283
2020-06-30,1.3678646934460892,1.6355357107337292,1.4981903558822012
2020-07-01,1.3766737138830167,1.656997506808879,1.5123437155859878
2020-07-02,1.3639887244538413,1.7233216827064732,1.5319197908744233
2020-07-03,1.3682170542635665,1.8094878806591388,1.5689999331759568
2020-07-06,1.3706835799859063,1.9055539817407516,1.6080399437148871
2020-07-07,1.3678646934460894,1.9141117853364376,1.6094708344402355
2020-07-08,1.3724453840732915,1.996267486153728,1.6435212978717844
2020-07-09,1.381606765327696,2.042242144778106,1.6665881405876366
2020-07-10,1.3724453840732915,1.9976091602070047,1.64411964776636
2020-07-13,1.378083157152925,2.0321229956140217,1.660617096234194
2020-07-14,1.374207188160677,2.0100619067431107,1.6499356765632216
2020-07-15,1.377378435517971,1.9524146358698085,1.6307362377434134
2020-07-16,1.3724453840732918,1.8937368531289953,1.6054694583890854
2020-07-17,1.3646934460887958,1.9176193598465183,1.6095931767622331
2020-07-20,1.3713883016208606,2.0126395040511347,1.6498268265504306
2020-07-21,1.3809020436927422,1.9783548327265086,1.6434748492323388
2020-07-22,1.4133192389006353,2.0021850220709294,1.673602887095098
2020-07-23,1.4210711768851314,2.0197980959553803,1.6852768042169362
2020-07-24,1.4355179704016923,1.9568659746830444,1.671070658561097
2020-07-27,1.4721634954193106,1.9596512716734067,1.6956032473346048
2020-07-28,1.467230443974631,1.9752081205268055,1.69853557955697
2020-07-29,1.470049330514448,2.019868231990816,1.7176123858525885
2020-07-30,1.4612403100775206,2.001280231206988,1.704838600789043
2020-07-31,1.4732205778717418,2.003800459993312,1.7134923147292596
2020-08-03,1.4689922480620166,2.0345224701288496,1.72260941704319
2020-08-04,1.4704016913319249,2.045848784581662,1.727833889457016
2020-08-05,1.5102184637068368,2.0559191826356993,1.757394402049651
2020-08-06,1.521846370683581,2.071502793055623,1.7708308446584378
2020-08-07,1.5313601127554626,2.0509065891839073,1.7689964560019913
2020-08-10,1.5204369274136726,2.058929512808698,1.7651704764088085
2020-08-11,1.4852008456659629,2.0341271191897556,1.733102536773227
2020-08-12,1.393939393939395,2.0177223355377363,1.6682409717557043
2020-08-13,1.4171952078928833,2.0282075304013176,1.6874497368356334
2020-08-14,1.4249471458773793,2.0471429070877614,1.699615676421175
2020-08-17,1.445736434108528,2.088160969087502,1.7285784271343765
2020-08-18,1.478505990133898,2.093908192709697,1.7522686259987705
2020-08-19,1.4598308668076119,2.0707742252588655,1.7313836982292186
2020-08-20,1.4260042283298107,2.0490581946762525,1.701147680248969
2020-08-21,1.4291754756871047,2.054866699132133,1.705398426162275
2020-08-24,1.4175475687103603,2.053164415885876,1.6971312702289933
2020-08-25,1.4207188160676543,2.0459049191653436,1.696519171040859
2020-08-26,1.4182522903453147,2.0236543267305067,1.6865963765458858
2020-08-27,1.4351656095842154,2.0375596062569294,1.7028739258510124
2020-08-28,1.4362226920366463,2.0649745968810516,1.7138741069524657
2020-08-31,1.4418604651162799,2.056896301211496,1.7145571788827108
2020-09-01,1.4566596194503183,2.0585244616056846,1.7248468607298386
2020-09-02,1.4408033826638489,2.045174107050982,1.709486465393055
2020-09-03,1.4154334038054979,2.030131725232515,1.6872728901619154
2020-09-04,1.4221282593375626,2.035623095818289,1.6937160180301385
2020-09-07,1.4214235377026085,2.0103597517142675,1.6837953712570368
2020-09-08,1.4221282593375626,2.0150904040858983,1.6860375029923103
2020-09-09,1.4214235377026085,1.9818536973430683,1.6730637754301487
2020-09-10,1.4326990838618756,1.9633856108607548,1.6733474412403857
2020-09-11,1.4288231148696275,1.9701948598542736,1.6734690991928756
2020-09-14,1.4284707540521506,1.9802227422547984,1.6770750426549306
2020-09-15,1.4326990838618756,1.9891216650788146,1.6831968305589635
2020-09-16,1.4288231148696275,1.9861019654486136,1.6795424469391145
2020-09-17,1.419661733615223,1.9872564542416964,1.6740588537242087
2020-09-18,1.4249471458773793,2.0201647688247193,1.6899615871826523
2020-09-21,1.4245947850599023,2.014978737956904,1.687779485740862
2020-09-22,1.3935870331219178,1.9844810071924754,1.6560791254978016
2020-09-23,1.372093023255815,1.9798896278958784,1.6403065085815776
2020-09-24,1.3558844256518685,1.945483574643448,1.6168219637223336
2020-09-25,1.372093023255815,1.9381072227031966,1.6246937157560561
2020-09-28,1.3699788583509525,1.9122842451391966,1.6135756550553593
2020-09-29,1.3879492600422845,1.9385834538441624,1.6352028185224805
2020-09-30,1.3886539816772385,1.9398285471848102,1.6361320716508796
2020-10-09,1.3883016208597614,1.9859104014434665,1.6533940440981492
2020-10-12,1.4041578576462308,2.0508720051492157,1.6881182729700106
2020-10-13,1.3981677237491204,2.0537655040297618,1.685229209817525
2020-10-14,1.382311486962651,2.0295510340615333,1.6657765667315045
2020-10-15,1.3809020436927426,2.017679687055695,1.6604578140512982
2020-10-16,1.3851303735024678,2.016474162052278,1.6628077548861573
2020-10-19,1.3875968992248073,1.993421612396166,1.655882070998389
2020-10-20,1.3809020436927424,2.0065068460168103,1.6563792698050435
2020-10-21,1.3854827343199447,1.9813168081917867,1.6500437289482377
2020-10-22,1.3872445384073302,1.9694035495653257,1.6467331312441646
2020-10-23,1.3819591261451738,1.9289185308539079,1.6280490470097848
2020-10-26,1.375968992248063,1.9284737358670976,1.6239988605326752
2020-10-27,1.3893587033121928,1.9530265458997307,1.6419950283563265
2020-10-28,1.3904157857646242,1.9589867611829126,1.6449370990996883
2020-10-29,1.3699788583509525,1.9625069844277054,1.632969353833655
2020-10-30,1.3618745595489794,1.9577380898509684,1.6258706704363453
2020-11-02,1.3731501057082465,1.9499189853893606,1.630352237029627
2020-11-03,1.3812544045102197,1.9858836691273865,1.6491762415059585
2020-11-04,1.386187455954899,1.9769209508384717,1.6490663063355182
2020-11-05,1.386187455954899,2.03716951990383,1.6716819037592858
2020-11-06,1.3981677237491204,2.0439030053970564,1.682114574708471
2020-11-09,1.3939393939393951,2.1170654180161894,1.706412118718001
2020-11-10,1.3594080338266397,2.0823473728530426,1.670569810764558
2020-11-11,1.3565891472868228,2.041295223295322,1.6538441491451605
2020-11-12,1.353770260747006,2.042168882840274,1.6522725665295026
2020-11-13,1.3594080338266397,2.027528086808973,1.650726562072053
