,baseline_k40_monthly,D1_regime_breadth,D1b_regime_mom200,D2_ensemble_k40_k80,D3_stoploss_20dlow,D4_disp_gt_Q75,D5_breadth_and_disp
2021-01-04,2.45200600532793,2.1755722860923625,1.8984024369563064,2.3422848306978987,2.1350076364344215,1.1733321678438453,1.1520749920963982
2021-01-05,2.4789880973870053,2.199512476930788,1.919292626135218,2.3680595411974408,2.1350076364344215,1.186243619324733,1.1647525277256578
2021-01-06,2.4524529020430323,2.175968800662885,1.8987484352169852,2.3427117298956976,2.1350076364344215,1.173546016541766,1.1522849665126111
2021-01-07,2.409725553565804,2.1380584386966888,1.865667887168734,2.3018963240701438,2.1350076364344215,1.1531001561702696,1.1322095223447575
2021-01-08,2.450192248601781,2.173963008277157,1.8969981825696998,2.3405522350774133,2.1350076364344215,1.1724642502666414,1.1512227985204433
2021-01-11,2.465037035622643,2.187134226930519,1.9084913762222715,2.354732754773676,2.1350076364344215,1.1795677671823919,1.1581976215235565
2021-01-12,2.481490911409265,2.20173312925066,1.9212303653694542,2.370450360512589,2.1350076364344215,1.187441264108664,1.1659284748638983
2021-01-13,2.491976727768073,2.2110367979275343,1.9293487383611123,2.3804669626503294,2.1350076364344215,1.1924589294867907,1.1708552355539001
2021-01-14,2.522554187767812,2.2381670228984283,1.9530225484795645,2.4096761573109604,2.1350076364344215,1.2070908338747466,1.1852220547668146
2021-01-15,2.4876894323205967,2.2072328426608863,1.9260294103872997,2.376371513018671,2.1350076364344215,1.190407375921814,1.1688408498394958
2021-01-18,2.547381525326309,2.260195381480079,1.9722444745359335,2.433392533218492,2.1350076364344215,1.2189711937662002,1.1968871790199074
2021-01-19,2.5570478128059313,2.2687719131461406,1.9797283484203212,2.442626278357569,2.1350076364344215,1.2235966987685627,1.2014288840758858
2021-01-20,2.551628451997541,2.263963519056791,1.975532548025445,2.4374494204763124,2.1350076364344215,1.221003430093111,1.198882597465279
2021-01-21,2.5686783856127087,2.279091280967762,1.9887330195800197,2.45373641193736,2.1350076364344215,1.2291621521871063,1.20689350856919
2021-01-22,2.5158265146855676,2.2321978127595385,1.9478138210349225,2.4032495308784823,2.1350076364344215,1.203871512541527,1.1820610576500814
2021-01-25,2.493213373698014,2.2121340271378385,1.9303061795916598,2.381648271748411,2.1350076364344215,1.1930506884166951,1.1714362736292012
2021-01-26,2.4551335939877172,2.1783472773426866,1.9008238918469693,2.345272467538332,2.1350076364344215,1.1748287793424865,1.1535444895905622
2021-01-27,2.461342205177907,2.183855943476109,1.9056307490030933,2.351203258808371,2.1350076364344215,1.1777997195486913,1.1564616054835595
2021-01-28,2.3806364743572543,2.112248797767361,1.8431464175074304,2.274108908859452,2.1350076364344215,1.1391804706987874,1.1185420188286719
2021-01-29,2.3466018409161333,2.0820511534219053,1.8167959799778544,2.241597240676633,2.1350076364344215,1.122894242137165,1.1025508467159268
2021-02-01,2.3434760226402207,2.0792777329663026,1.8143758957612655,2.2444126409298675,2.1350076364344215,1.1213984778013546,1.1010821810366047
2021-02-02,2.351683686512381,2.0865600830156232,1.8207304679208651,2.248367157340234,2.1350076364344215,1.125326003273613,1.10493855180817
2021-02-03,2.3122620578659747,2.051582761357605,1.7902092882302323,2.211988605474615,2.1350076364344215,1.1064619936018925,1.0864163000630476
2021-02-04,2.2811754011528924,2.0240007453815863,1.7661412456835555,2.1886523548941215,2.1350076364344215,1.0915864287652148,1.071810234780496
2021-02-05,2.282893498301425,2.0255251480678114,1.7674714381082948,2.1885848805175345,2.1350076364344215,1.0924085713894474,1.072617482705059
2021-02-08,2.2944058985229576,2.035739665819378,1.7763846171903546,2.2026900552067863,2.1350076364344215,1.0979174769466384,1.0780265838106082
2021-02-09,2.336606858983135,2.0731829835861966,1.8090576228866775,2.2366316794563184,2.1350076364344215,1.1181114504990035,1.0978547045749851
2021-02-10,2.3428880381931902,2.078756036581859,1.8139206639613805,2.2431730857132983,2.1350076364344215,1.1211171159024063,1.1008059165512432
2021-02-18,2.3774178397859895,2.1093930249197057,1.8406544726669678,2.2632131966583726,2.1350076364344215,1.1376402919754105,1.1170297434140954
2021-02-19,2.41974097864027,2.146944746959431,1.8734220718351684,2.294947253893786,2.1350076364344215,1.157892730245931,1.1369152696954714
2021-02-22,2.3856004102073434,2.116653110498214,1.8469896168691888,2.2783310734532236,2.1350076364344215,1.1415558097474554,1.1208743240281012
2021-02-23,2.378804312604515,2.1106231898674466,1.8417279135034677,2.276937601457007,2.1350076364344215,1.1383037459613643,1.117681177651195
2021-02-24,2.3726851436409087,2.1051938824423377,1.8369903046854568,2.272753208698779,2.1350076364344215,1.1353756055857414,1.1148060861872815
