variant,gold_weight,net5_sharpe,maxdd,worst_year,worst_sharpe,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
k40+k80_ensemble,0.25,1.0417866684380626,-0.27090817922535115,2023,-0.4196367433695684,2.7818812565589406,2.1975451374658665,0.5196171924976942,0.16105000839264363,-0.4196367433695684,0.8126804583307814,2.0842812162820548,0.7692542707592986
k40+k80_ensemble,0.30000000000000004,1.09358981092761,-0.2483049856571713,2023,-0.3442260256296116,2.8538482870704946,2.1801382292440126,0.4892455630695294,0.19447800803406176,-0.3442260256296116,0.8904090225160355,2.2328903885843503,0.7865457580368537
k40+k80_ensemble,0.35000000000000003,1.1454386148544093,-0.22512061129078542,2023,-0.25716971543243383,2.9155154103378247,2.15235274282542,0.4535014967836242,0.23217009225727692,-0.25716971543243383,0.9766994068713858,2.3710872548219593,0.8002100258738866
k40+k80_ensemble,0.4,1.1958392208467687,-0.2017114232921572,2023,-0.15639359583628254,2.9600573994743655,2.1125422640395533,0.4115362778499009,0.27470048358655913,-0.15639359583628254,1.0722199490609432,2.493973862983314,0.810712355964248
k40+k80_ensemble,0.45,1.2428920132992676,-0.17889524081727404,2023,-0.03966733600603062,2.9794593509289706,2.059285464218805,0.3625477526861989,0.3226190136477209,-0.03966733600603062,1.1773107842595787,2.5973460783810864,0.8185107997140953
k40+k80_ensemble,0.5,1.2843725164568742,-0.18065480619670304,2023,0.09515143726461593,2.965589245209809,1.991599815990151,0.3059261097746302,0.3763457060553328,0.09515143726461593,1.2916700986103344,2.6783098762934805,0.824034081664626
k40+k80_ensemble,0.55,1.317924689921836,-0.1874738699697417,2021,0.24146121523975927,2.9119857866503045,1.9091564307502469,0.24146121523975927,0.43598629424456303,0.24962746234873223,1.4138942821069833,2.7356687398871995,0.8276690608589351
k40+k80_ensemble,0.6000000000000001,1.3413655790623695,-0.19429108473111367,2021,0.16958340241043884,2.815907556796195,1.8124447111432909,0.16958340241043884,0.5010444341302295,0.42391705446344374,1.5408928845329777,2.769967948679205,0.8297554260082012
k40+k80_ensemble,0.65,1.3530489837370818,-0.20110570679339856,2021,0.0915624957872959,2.6797158751999297,1.7028332268460535,0.0915624957872959,0.5700401518511476,0.6156086499443216,1.6673215207534584,2.783210331097974,0.8305853407249336
k40+k80_ensemble,0.7000000000000001,1.352185780908633,-0.2079169984569309,2021,0.009551911750322384,2.510727019874683,1.5824929447928795,0.009551911750322384,0.6401372968925577,0.8185568725840312,1.7853789494431938,2.778368572335678,0.8304061380049208
k40+k80_ensemble,0.75,1.3390072871588152,-0.2147242280886864,2021,-0.07361656954816234,2.319466383688849,1.4541873547494637,-0.07361656954816234,0.707035956770801,1.0225038320465512,1.8854840708209517,2.75885613645834,0.82942464496568
k40+k80_ensemble,0.8,1.314707676903069,-0.22152667019944894,2021,-0.15487870203871723,2.1171875770065474,1.3209751577849747,-0.15487870203871723,0.7654842978402792,1.214460130554058,1.9581807365115955,2.728083248394393,0.8278121660708245
k40+k80_ensemble,0.8500000000000001,1.2811900263291491,-0.2283236055192659,2021,-0.23147799451261142,1.913771251374941,1.1858952404295633,-0.23147799451261142,0.8105541063740952,1.3819826261624781,1.996859260098238,2.6891567696327856,0.8257095114780548
k40+k80_ensemble,0.9,1.2407132904294484,-0.23511432107117414,2021,-0.3013918668531733,1.7166175826827752,1.0517003367627764,-0.3013918668531733,0.8392147272549919,1.5168277672637678,1.9999440200659506,2.644723798367082,0.8232317184400477
