,pnl_net_5bps
2022-01-13,-0.017753821590273278
2022-01-14,0.004719431036494193
2022-01-17,0.0072354837100234715
2022-01-18,0.007073170031493325
2022-01-19,-0.01173300015673695
2022-01-20,0.0010098066523980638
2022-01-21,0.004825096297965607
2022-01-24,0.010577753065884895
2022-01-25,-0.02909648628211762
2022-01-26,-0.0012023811019496265
2022-01-27,-0.036367491553595935
2022-01-28,-0.011245332497515062
2022-02-07,0.024175785654761896
2022-02-08,-0.029883939293422146
2022-02-09,0.004701742181665747
2022-02-10,-0.01981775653231432
2022-02-11,-0.02628808153967943
2022-02-14,0.005665246907768928
2022-02-15,0.03830290864309201
2022-02-16,0.003453835172331295
2022-02-17,0.023720556109464143
2022-02-18,-0.009442903417644161
2022-02-21,-0.0003506997683750215
2022-02-22,-0.021964084183942023
2022-02-23,0.023100943515263296
2022-02-24,-0.025600489583240793
2022-02-25,0.030277010959321705
2022-02-28,-0.003482551378322614
2022-03-01,0.011559645750708114
2022-03-02,-0.016008445008811413
2022-03-03,-0.009589713235319467
2022-03-04,-0.011060434603602063
2022-03-07,-0.045314539683259006
2022-03-08,-0.03508204405843614
2022-03-09,-0.009374452322979843
2022-03-10,0.03688404907068572
2022-03-11,-0.008828559814760346
2022-03-14,-0.046258617486163146
2022-03-15,-0.037415410062660616
2022-03-16,0.0756387756729621
2022-03-17,0.048721533478140344
2022-03-18,0.0019451467309222021
2022-03-21,0.005295721456080963
2022-03-22,-0.012703915295730485
2022-03-23,0.027680663312095913
2022-03-24,-0.003628577764386704
2022-03-25,-0.03960804567333213
2022-03-28,-0.016355866698840406
2022-03-29,-0.001680497165146769
2022-03-30,0.03245657801153919
2022-03-31,-0.022911079259530693
2022-04-01,1.0295682517092223e-05
2022-04-06,-0.016969044993755178
2022-04-07,-0.01944755751344477
2022-04-08,-0.0105522395344159
2022-04-11,-0.04550811137972025
2022-04-12,0.016230157573087135
2022-04-13,-0.01627000858299939
2022-04-14,0.009542935778383166
2022-04-15,-0.0034529472870966265
2022-04-18,0.016397468614630945
2022-04-19,-0.010821973736600246
2022-04-20,-0.009659788104554107
2022-04-21,-0.02932989052723467
2022-04-22,-0.013893994204295747
2022-04-25,-0.06917759203016541
2022-04-26,-0.04131092996570399
2022-04-27,0.04797750654530689
2022-04-28,-0.01687949756938234
2022-04-29,0.062108555073349406
2022-05-05,0.0017111492279278475
2022-05-06,-0.003073556690728692
2022-05-09,-0.010509090844540806
2022-05-10,0.02020349607145603
2022-05-11,0.025226244601911876
2022-05-12,0.0015181252387899873
2022-05-13,-0.005354400934700409
2022-05-16,-0.008337361624530765
2022-05-17,0.010121725628461215
2022-05-18,0.0017937273751227334
2022-05-19,-0.002412686417361883
2022-05-20,0.01239473943314991
2022-05-23,0.0063125259401185145
2022-05-24,-0.04673389644718495
2022-05-25,0.01227804693962146
2022-05-26,0.009932780700356043
2022-05-27,-0.0045345178473154
2022-05-30,0.026481384851605744
2022-05-31,0.022737018576929183
2022-06-01,0.000831069283453815
2022-06-02,0.018499820970584148
2022-06-06,0.03599116227687656
2022-06-07,-0.006225339793537528
2022-06-08,0.009356635558145735
2022-06-09,-0.029701280825314758
2022-06-10,0.012242229776156374
2022-06-13,-0.00644225192079347
2022-06-14,-0.014278098569443358
2022-06-15,0.014894198034996142
2022-06-16,0.010537264872580849
2022-06-17,-0.0038653609033470664
2022-06-20,0.011861037108971942
2022-06-21,-0.0038519485549491175
2022-06-22,-0.02878060765264582
2022-06-23,0.023543978761370116
2022-06-24,0.01167385834963941
2022-06-27,0.016249735765686113
2022-06-28,0.01649687880139868
2022-06-29,-0.016936510498836967
2022-06-30,0.020305027468667726
2022-07-01,-0.012238001314924361
2022-07-04,-0.005162376782800477
2022-07-05,-0.012863738465237695
2022-07-06,-0.021475089701309548
2022-07-07,0.00031276878567521016
2022-07-08,0.0018491701513163963
2022-07-11,-0.007855878010561312
2022-07-12,-0.0049337478187441155
2022-07-13,0.004308647735414431
2022-07-14,-0.013919236179494383
2022-07-15,-0.036891988857170745
2022-07-18,0.026271643950769082
2022-07-19,-0.0010951891140129992
2022-07-20,0.007526534594511247
2022-07-21,-0.004927047657546221
2022-07-22,0.005407312845593037
2022-07-25,0.0030099363602789455
2022-07-26,0.026181131701467297
2022-07-27,-0.005584164616435035
2022-07-28,0.012259948543336785
2022-07-29,-0.0015999287802450264
2022-08-01,2.080495940548488e-05
2022-08-02,-0.020787488246155096
2022-08-03,-0.012062691450788272
2022-08-04,0.0005908561781933224
2022-08-05,0.019007638204989703
2022-08-08,-0.0014823323212859174
2022-08-09,-0.0004489853616333659
2022-08-10,-0.0009182477275783141
2022-08-11,0.011752017441056212
2022-08-12,0.005711476822910104
2022-08-15,-0.012706005547478692
2022-08-16,0.00808683493824939
2022-08-17,0.007412139464340864
2022-08-18,-0.010777130871008806
2022-08-19,0.006088251890373505
2022-08-22,0.004908084690995351
2022-08-23,-0.0002976503559340613
2022-08-24,0.0013529328964615077
2022-08-25,0.006888641854490377
2022-08-26,0.0015381987737712603
2022-08-29,-0.00873329187348515
2022-08-30,-0.0011704516951791164
2022-08-31,-0.0021221105124030375
2022-09-01,-0.009706099542165095
2022-09-02,-0.0033478847732809247
2022-09-05,0.008135127533950515
2022-09-06,0.01719202106067952
2022-09-07,0.004398881999918485
2022-09-08,-0.009388641666363995
2022-09-09,0.017649451551295197
2022-09-13,-0.003987120336191159
2022-09-14,-0.018563910349349157
2022-09-15,-0.028485335890940894
2022-09-16,-0.025642439341951834
