id,strategy,cost_bps,net_sharpe,net_ret
r1_rev_60d,ls_top4_bot4_monthly,15,-0.3834597190352872,-0.10193201687124899
r1_rev_60d,longonly_top3_weekly,0,0.6193639859825045,0.14757394423226586
r1_rev_60d,longonly_top3_weekly,5,0.5557985112237599,0.13244159129108937
r1_rev_60d,longonly_top3_weekly,10,0.4921858546623812,0.11730923834991293
r1_rev_60d,longonly_top3_weekly,15,0.42854927650621516,0.10217688540873644
r1_rev_60d,longonly_top3_monthly,0,0.5582699920004744,0.1340634683608028
r1_rev_60d,longonly_top3_monthly,5,0.5294013352739785,0.12715057243320096
r1_rev_60d,longonly_top3_monthly,10,0.5005017166882462,0.12023767650559915
r1_rev_60d,longonly_top3_monthly,15,0.47157809037282017,0.11332478057799734
r1_rev_80d,ls_top4_bot4_weekly,0,-0.18927598172185112,-0.05283701049348605
r1_rev_80d,ls_top4_bot4_weekly,5,-0.2664199053023296,-0.07439526841203808
r1_rev_80d,ls_top4_bot4_weekly,10,-0.34346083074059675,-0.09595352633059015
r1_rev_80d,ls_top4_bot4_weekly,15,-0.4203621949895845,-0.1175117842491422
r1_rev_80d,ls_top4_bot4_monthly,0,-0.14705654963502918,-0.039175240828148675
r1_rev_80d,ls_top4_bot4_monthly,5,-0.1862364463206485,-0.04961585168787719
r1_rev_80d,ls_top4_bot4_monthly,10,-0.2253765018539189,-0.06005646254760573
r1_rev_80d,ls_top4_bot4_monthly,15,-0.26445869788815,-0.07049707340733423
r1_rev_80d,longonly_top3_weekly,0,0.6724862103607561,0.1606864322935117
r1_rev_80d,longonly_top3_weekly,5,0.6121301806788637,0.1462667490355931
r1_rev_80d,longonly_top3_weekly,10,0.5517154688440487,0.13184706577767458
r1_rev_80d,longonly_top3_weekly,15,0.49126193432632564,0.117427382519756
r1_rev_80d,longonly_top3_monthly,0,0.7834485879619539,0.1879732463929578
r1_rev_80d,longonly_top3_monthly,5,0.7566534436686927,0.18153546358752795
r1_rev_80d,longonly_top3_monthly,10,0.7298018808839144,0.17509768078209806
r1_rev_80d,longonly_top3_monthly,15,0.702899847118004,0.1686598979766682
r1_dd60_raw,ls_top4_bot4_weekly,0,-0.3902438074023648,-0.09824239675597539
r1_dd60_raw,ls_top4_bot4_weekly,5,-0.5215431029389153,-0.1313102700591428
r1_dd60_raw,ls_top4_bot4_weekly,10,-0.6525464104604466,-0.1643781433623103
r1_dd60_raw,ls_top4_bot4_weekly,15,-0.78309322500699,-0.1974460166654777
r1_dd60_raw,ls_top4_bot4_monthly,0,-0.25917049574537876,-0.06158514486262711
r1_dd60_raw,ls_top4_bot4_monthly,5,-0.31762571954736724,-0.07548220368615655
r1_dd60_raw,ls_top4_bot4_monthly,10,-0.3759524270785768,-0.08937926250968596
r1_dd60_raw,ls_top4_bot4_monthly,15,-0.43409600247241836,-0.10327632133321539
r1_dd60_raw,longonly_top3_weekly,0,0.4488216815692907,0.12164648839144274
r1_dd60_raw,longonly_top3_weekly,5,0.3920506833934842,0.10627657888918025
r1_dd60_raw,longonly_top3_weekly,10,0.3352664445013482,0.09090666938691781
r1_dd60_raw,longonly_top3_weekly,15,0.27848495939420365,0.07553675988465537
r1_dd60_raw,longonly_top3_monthly,0,0.4164690923611519,0.11155844341227578
r1_dd60_raw,longonly_top3_monthly,5,0.3910630043529873,0.10478808142132554
r1_dd60_raw,longonly_top3_monthly,10,0.36565060393744586,0.09801771943037531
r1_dd60_raw,longonly_top3_monthly,15,0.34023678538648644,0.09124735743942508
r1_dd60_recover,ls_top4_bot4_weekly,0,-0.057907726336789575,-0.011086652302258866
r1_dd60_recover,ls_top4_bot4_weekly,5,-0.3724235854133432,-0.07141414099004173
r1_dd60_recover,ls_top4_bot4_weekly,10,-0.6845853273649651,-0.13174162967782452
r1_dd60_recover,ls_top4_bot4_weekly,15,-0.9925828547451724,-0.19206911836560728
r1_dd60_recover,ls_top4_bot4_monthly,0,-0.21141641975090608,-0.040050678624328526
r1_dd60_recover,ls_top4_bot4_monthly,5,-0.2924464538933353,-0.05540871029853671
r1_dd60_recover,ls_top4_bot4_monthly,10,-0.3732329296037097,-0.07076674197274484
r1_dd60_recover,ls_top4_bot4_monthly,15,-0.4536337473445709,-0.08612477364695299
r1_dd60_recover,longonly_top3_weekly,0,0.5073486030627031,0.12289688113603042
r1_dd60_recover,longonly_top3_weekly,5,0.354029447832681,0.08586181326272724
r1_dd60_recover,longonly_top3_weekly,10,0.20099127658953453,0.0488267453894241
r1_dd60_recover,longonly_top3_weekly,15,0.048437690045087245,0.011791677516120938
r1_dd60_recover,longonly_top3_monthly,0,0.37950339302476005,0.09416953368610206
r1_dd60_recover,longonly_top3_monthly,5,0.3408024872895757,0.08459600427433736
r1_dd60_recover,longonly_top3_monthly,10,0.30208952940952244,0.07502247486257266
r1_dd60_recover,longonly_top3_monthly,15,0.2633796407351234,0.06544894545080795
