round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days
6,refine L=120 λs=0.0 rb=0.2,18,600,120,0.0,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.16085610276328022,0.12761122665518934,1.2605168603066552,2.0135251625551076,-0.16769250212289433,0.9592325281508173,1.7610331868736697,0.4970622796709753,74.12432432432432,1702
6,refine L=120 λs=0.0 rb=0.3,18,600,120,0.0,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.16244230307848695,0.127487346585288,1.274183732185644,2.0193938885583678,-0.1666793642250487,0.97457956978501,1.7767158695454863,0.4988249118683901,73.29764982373679,1702
6,refine L=120 λs=0.0 rb=0.4,18,600,120,0.0,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.17197337920861155,0.1288563987077306,1.3346126458079741,1.993760376174752,-0.1724850877693168,0.9970333170981736,1.8629540708009589,0.5011750881316098,66.12408930669801,1702
6,refine L=120 λs=0.2 rb=0.0,18,600,120,0.2,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.14338083132976243,0.13030727557551097,1.1003286708014668,1.8677464214639463,-0.18128629791266682,0.7909082648862683,1.520878697870011,0.49529964747356053,77.47790834312575,1702
6,refine L=120 λs=0.2 rb=0.1,18,600,120,0.2,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.14338083132976243,0.13030727557551097,1.1003286708014668,1.8677464214639463,-0.18128629791266682,0.7909082648862683,1.520878697870011,0.49529964747356053,77.47790834312575,1702
6,refine L=120 λs=0.2 rb=0.2,18,600,120,0.2,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13682014862432856,0.13021136710396095,1.050754259534739,1.7658559797699085,-0.1856858807679379,0.7368365761493756,1.4392598784894373,0.49588719153936545,73.37661574618097,1702
6,refine L=120 λs=0.2 rb=0.3,18,600,120,0.2,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.14130323771454756,0.1302136810056926,1.0851642978157583,1.7947803987357873,-0.18469349585225692,0.7650688350583887,1.4865792572541021,0.4964747356051704,72.6165687426557,1702
6,refine L=120 λs=0.2 rb=0.4,18,600,120,0.2,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.16331745574030032,0.1285081169590993,1.2708726857485577,1.9207874201740482,-0.15641349766219503,1.0441391451587874,1.7989235072201408,0.5,65.5614571092832,1702
6,refine L=120 λs=0.3 rb=0.0,18,600,120,0.3,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.14214072289858914,0.1304445386386985,1.0896640394603747,1.8549951715103699,-0.19403140719173462,0.7325655416091013,1.5130778015718789,0.4929494712103408,77.44829612220917,1702
6,refine L=120 λs=0.3 rb=0.1,18,600,120,0.3,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.14214072289858914,0.1304445386386985,1.0896640394603747,1.8549951715103699,-0.19403140719173462,0.7325655416091013,1.5130778015718789,0.4929494712103408,77.44829612220917,1702
6,refine L=120 λs=0.3 rb=0.2,18,600,120,0.3,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13913472650950953,0.1301856876874885,1.0687405734146693,1.784307553107401,-0.18928421109631866,0.7350572227004702,1.4731160150997777,0.49588719153936545,73.25816686251468,1702
6,refine L=120 λs=0.3 rb=0.3,18,600,120,0.3,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.14300085648735616,0.13018278266407038,1.0984621281015488,1.8092859425300898,-0.1882967295164829,0.7594441860703603,1.5134608608469489,0.4970622796709753,72.58695652173913,1702
6,refine L=120 λs=0.3 rb=0.4,18,600,120,0.3,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.16051477144086634,0.12962396053114653,1.238310963367743,1.8812894712782788,-0.17406262502673508,0.9221667857543349,1.762976608675626,0.500587544065805,65.5614571092832,1702
6,refine L=120 λs=0.5 rb=0.0,18,600,120,0.5,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.1483051504839712,0.1292668746118466,1.1472788440912753,1.9188658666319873,-0.18258789351105542,0.812239780152738,1.5824808245731103,0.4964747356051704,76.97450058754407,1702
6,refine L=120 λs=0.5 rb=0.1,18,600,120,0.5,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.1483051504839712,0.1292668746118466,1.1472788440912753,1.9188658666319873,-0.18258789351105542,0.812239780152738,1.5824808245731103,0.4964747356051704,76.97450058754407,1702
6,refine L=120 λs=0.5 rb=0.2,18,600,120,0.5,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.14229374898194624,0.12912546679259865,1.1019805195399486,1.8125725475633314,-0.18672037158953148,0.7620686900449805,1.5129042130140176,0.49412455934195065,72.18472385428906,1702
6,refine L=120 λs=0.5 rb=0.3,18,600,120,0.5,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.14913565971367593,0.129059803736575,1.15555467617228,1.8655549910482367,-0.18572965290155452,0.8029717246751377,1.5834125298069364,0.4970622796709753,71.66897767332549,1702
6,refine L=120 λs=0.5 rb=0.4,18,600,120,0.5,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.17078644298698653,0.1309399533068915,1.304311164574074,1.9366555194780362,-0.15945890228058968,1.0710373679010063,1.828874252125565,0.5017626321974148,64.79153936545241,1702
