alpha,period,n_rebalances,ls_gross_sharpe,ls_net_sharpe,q5_excess_ir,q1_excess_ir,ls_net_max_dd,q5_max_dd,avg_t_q5,avg_t_q1,ls_cost_bps_avg,ic_mean,ic_ir
alpha_04,train,60,0.9477275989233477,0.8177753675516277,0.39146823251738716,-1.2569559140552606,-0.11178438850341788,-0.06346304433640582,0.8010669394459603,0.7690733539532476,7.85070146699604,0.049427425120766595,9.3938584365583
alpha_04,validate,12,0.047400318613825626,-0.06693772865431004,-0.852258726087174,-0.5492669712927755,-0.08348144109433742,-0.03453445286507695,0.8083011014292621,0.8053431304052155,8.068221159172388,0.009408733869336846,1.5870416905631899
alpha_04,test,15,1.549648162754686,1.4599272934333947,1.1916308288653923,-1.672127331747752,-0.044494318294735935,-0.03367387737564864,0.8162947680997065,0.7761494981579677,7.962221331288371,0.06788669960344078,9.738781526262658
alpha_05,full,87,2.676084797764243,2.6178877256987074,1.3210219545861748,-2.177992137930449,-0.06254192782129575,-0.04808605894177853,0.406097638950728,0.36061916483851614,3.8335840189462207,0.06693075870812018,15.986639124622966
alpha_05,train,60,3.2652005307220313,3.202037449279633,2.0639235244422114,-2.659091480688734,-0.03953415028765317,-0.026364496178667984,0.4109860027195545,0.35371275334286906,3.8234937803121185,0.07452445611794448,18.831389575386606
alpha_05,validate,12,2.142865565299314,2.07457128832311,0.2316996829107306,-1.9545778825224178,-0.024768804733942607,-0.03355207896478196,0.39952808051210403,0.3854156004999023,3.924718405060031,0.04466349808523512,11.063733801425265
alpha_05,test,15,1.4709443841622338,1.4286744428293545,0.5045334543400797,-1.2695251579773164,-0.06254192782129564,-0.020948176303829613,0.39179983062632096,0.3684076622919957,3.8010374645915834,0.054134333206226834,11.25128648202041
alpha_06,full,87,1.5039465840791904,1.4506426322751467,0.7066221897072977,-1.9888756133432044,-0.0950191895698057,-0.04537717489227988,0.5059591104382736,0.5489350908011762,5.274471006197249,0.08624234967051503,11.540915930322786
alpha_06,train,60,1.6721560327171643,1.6113176992878044,0.812860623867072,-2.2093147316703723,-0.06187125258914983,-0.030963332756682505,0.5069058013429263,0.5483960966742801,5.276509490086032,0.08438034257061716,12.405881667517239
alpha_06,validate,12,2.3346480287189317,2.2701182201002963,1.9898543879781583,-2.184231048855371,-0.043963322938125216,-0.011209244913572558,0.5063866496712542,0.5517929779551906,5.290898138132224,0.10687901501594899,17.45877024318998
alpha_06,test,15,0.8676015789584373,0.8329324676303205,0.11722753179234564,-1.4343395459302273,-0.09501918956980548,-0.04537717489227988,0.5018303154332784,0.5488047575855486,5.253175365094137,0.0767589665305921,7.343050097369684
alpha_07,full,87,0.2637784314104138,0.07285934965723681,0.024082324605568133,-0.4323729096318132,-0.13612469995636667,-0.07982038796915425,0.7749473058200805,0.7802486283753459,7.775979670977131,0.006412602003290794,2.2293814928306213
alpha_07,train,60,0.0029003639749395943,-0.2480078030578678,-0.3336235281580824,-0.338711872079597,-0.12933083177331817,-0.07173988127415709,0.7696531411707056,0.7752228386482632,7.724379899094843,0.006778153317614198,2.6596661862489976
alpha_07,validate,12,0.5419345413993346,0.31977856575454483,0.2442244943943468,-0.7818752768071902,-0.026620550676309085,-0.013190259232040535,0.788179857171316,0.7955912079887101,7.91885532580013,0.011154361366122403,4.323858890914901
alpha_07,test,15,0.6545841630416603,0.5439725361880622,0.7307557476222658,-0.5568211389208626,-0.030433722803478558,-0.011052140342715622,0.7855379233365922,0.7880777235929857,7.868078234647889,0.0009618551201521872,0.23441977863392355
alpha_08,full,87,2.2874229924358462,2.210303360016691,1.7260873375410877,-2.3266904415297835,-0.0638587978579529,-0.031165282134191674,0.6282961825214096,0.6296001800902538,6.289481813058315,0.1036426509253034,17.672627925655963
alpha_08,train,60,2.336740506677021,2.2500886150846644,1.9288827773222432,-2.325805691782732,-0.055707053634760806,-0.017686517714995964,0.6262432047827718,0.6308746751843087,6.285589399835405,0.10114465339701112,18.14590183545954
alpha_08,validate,12,2.6818182582409746,2.598145314219906,2.6025816854788077,-2.3540618925171284,-0.019430933651765847,-0.005488565845828797,0.6108061901599634,0.6215263566586521,6.161662734093078,0.10116798351343616,17.384822780796238
alpha_08,test,15,2.0822788053156387,2.0278760530449453,1.2281199474810895,-2.3913266660135633,-0.0638587978579529,-0.025587805292115018,0.6505000873651176,0.6309612584593147,6.407306729122161,0.11600164249788977,16.728906875833058
