trade_date,Q1,Q2,Q3,Q4,Q5,MKT_EW,tov_q5,tov_q1,LS,LS_cost,LS_net,Q5_ex,Q5_ex_cost,Q5_ex_net
2022-02-25,-0.06697,-0.062733,-0.052867,-0.055534,-0.049615,-0.057544,0.019116,0.023895,0.017356,2.2e-05,0.017334,0.007929,1e-05,0.00792
2022-03-25,-0.166081,-0.167817,-0.167278,-0.163045,-0.160437,-0.164932,0.028909,0.045991,0.005645,3.7e-05,0.005607,0.004495,1.4e-05,0.00448
2022-04-26,0.128369,0.125697,0.132784,0.124059,0.130623,0.128307,0.103851,0.125364,0.002254,0.000115,0.002139,0.002317,5.2e-05,0.002265
2022-05-27,0.112406,0.108609,0.10803,0.110084,0.105585,0.108943,0.12637,0.133295,-0.006821,0.00013,-0.006951,-0.003358,6.3e-05,-0.003421
2022-06-27,-0.009552,0.001184,0.002048,-0.001007,0.015134,0.001561,0.006297,0.010297,0.024687,8e-06,0.024679,0.013573,3e-06,0.01357
2022-07-25,0.042056,0.047544,0.050301,0.042779,0.039008,0.044338,0.01418,0.026077,-0.003048,2e-05,-0.003068,-0.005329,7e-06,-0.005337
2022-08-22,-0.084474,-0.089427,-0.084897,-0.08413,-0.080254,-0.084637,0.070185,0.103874,0.00422,8.7e-05,0.004133,0.004382,3.5e-05,0.004347
2022-09-20,0.004783,0.003422,9.5e-05,-0.004643,-0.006319,-0.000532,0.198218,0.210468,-0.011102,0.000204,-0.011307,-0.005787,9.9e-05,-0.005886
2022-10-25,0.036763,0.033947,0.036825,0.041697,0.044191,0.038685,0.022664,0.030939,0.007428,2.7e-05,0.007401,0.005506,1.1e-05,0.005495
2022-11-22,-0.031261,-0.025297,-0.025385,-0.025445,-0.020873,-0.025652,0.284615,0.253158,0.010388,0.000269,0.010119,0.004779,0.000142,0.004637
2022-12-20,0.055659,0.050705,0.052725,0.046061,0.043098,0.04965,0.012009,0.014192,-0.012562,1.3e-05,-0.012575,-0.006552,6e-06,-0.006558
2023-01-18,0.049402,0.059586,0.057441,0.070449,0.062571,0.05989,0.008677,0.013015,0.013169,1.1e-05,0.013159,0.002681,4e-06,0.002677
2023-02-22,-0.015732,-0.009001,-0.00505,-0.003406,-0.006933,-0.008024,0.007543,0.010776,0.0088,9e-06,0.008791,0.001092,4e-06,0.001088
2023-03-22,-0.038246,-0.033807,-0.031258,-0.032015,-0.038898,-0.034845,0.017131,0.031049,-0.000653,2.4e-05,-0.000677,-0.004054,9e-06,-0.004062
2023-04-20,-0.003564,0.004622,0.00826,0.008218,0.009238,0.005355,0.099415,0.076514,0.012802,8.8e-05,0.012714,0.003883,5e-05,0.003834
2023-05-23,0.00177,0.011303,0.016247,0.010959,0.00537,0.00913,0.187994,0.18,0.003601,0.000184,0.003417,-0.00376,9.4e-05,-0.003854
2023-06-20,0.007475,0.001394,0.001583,0.011732,0.018776,0.008192,0.012526,0.014614,0.011301,1.4e-05,0.011287,0.010584,6e-06,0.010577
