trade_week,BASE_A_cash,B_A_red,C_ens_cash,BC_ens_red
2020-04-03,1.2713476935959627,1.2606955586445814,1.2656043116318125,1.2554597613907712
2020-04-10,1.2713476935959627,1.2722127233380836,1.2656043116318125,1.2665293091419112
2020-04-17,1.2713476935959627,1.276318521141579,1.2656043116318125,1.2704820948092643
2020-04-24,1.2742913448740343,1.2790548456114268,1.2692681068944014,1.2739463743620336
2020-04-30,1.2845035954903596,1.2892418810222093,1.2797983557606887,1.2844567109583471
2020-05-08,1.3054002851964444,1.310087198004447,1.299470692723046,1.3040927315809203
2020-05-15,1.3210533983004809,1.3257022920358856,1.3186543603428804,1.3232420543604582
2020-05-22,1.2957924100420588,1.300500651344291,1.293207374495482,1.2978372873838326
2020-05-29,1.3036222773896198,1.308312862579009,1.301041323797789,1.3056585606594366
2020-06-05,1.325333735216295,1.3299771231188604,1.3238126410413074,1.3283948772968908
2020-06-12,1.3337416489861442,1.3383687815815406,1.3305930481639088,1.3351664478301464
2020-06-19,1.3660407053738743,1.3705857140188367,1.358787429894084,1.3632910533611178
2020-06-24,1.3781035868505433,1.382619391088638,1.3728006769443977,1.3772705329986878
2020-07-03,1.415636079765011,1.4200611398240042,1.4010220873170234,1.4054246479309525
2020-07-10,1.4775937771168706,1.4818977203660615,1.4655903139403652,1.469857752879669
2020-07-17,1.4114516735433071,1.4158501719491523,1.3978683611977172,1.4022391759408814
2020-07-24,1.425135223271254,1.429519940067436,1.4099569658568705,1.4143155092202413
2020-07-31,1.4459239468179776,1.4502866249241964,1.4364963603631773,1.440826395875648
2020-08-07,1.4750040346236268,1.4793389495495877,1.472040710614486,1.4763378598538874
2020-08-14,1.451718536264119,1.4560699793956873,1.4487447792698962,1.4530564560111947
2020-08-21,1.4488201349682266,1.453174030327352,1.4430788308874871,1.4473949787427811
2020-08-28,1.4760863371426036,1.4803636964746225,1.4552594548836268,1.4595416044442078
2020-09-04,1.4653046222166863,1.4696129546183514,1.4462843460835892,1.4505943532545074
2020-09-11,1.4503181898900235,1.454676923306583,1.4299758631612682,1.434341460662172
2020-09-18,1.461676049513861,1.4659969421510064,1.440424724339563,1.4447553475333113
2020-09-25,1.4160976527187394,1.4206162024470133,1.395322682546907,1.399844464100083
2020-09-30,1.4131858659360865,1.4177154402088534,1.39881150929922,1.4033205096561499
2020-10-09,1.4418719006456582,1.4465356072051874,1.4337762793489854,1.4384387902746194
2020-10-16,1.45970616375825,1.4644514941632196,1.44920683833194,1.4539394552451173
2020-10-23,1.4181413167297199,1.4227511912378445,1.4099085765328077,1.4145126584399925
2020-10-30,1.425186881175309,1.429819658314892,1.4190114072716138,1.423645214636893
2020-11-06,1.465206946435841,1.469969814615352,1.4679763522714535,1.4727700555485048
2020-11-13,1.482289398152317,1.4871077953244431,1.4828613419356236,1.487703652415115
2020-11-20,1.505300812376244,1.5101940114955212,1.5022555443317853,1.5071611869292896
2020-11-27,1.5090969943927923,1.5140025335535732,1.5003610891556136,1.505260545375543
2020-12-04,1.4984493361088587,1.5033202635085159,1.500529973578265,1.5054299812933252
2020-12-11,1.5063805287701488,1.5112772376645252,1.4846902260885406,1.489538508822247
2020-12-18,1.5364510183080302,1.5414454757000577,1.5129064689374592,1.5178468923215254
2020-12-25,1.5560232053508276,1.5610812849820865,1.5296038805381236,1.5345988296211799
2020-12-31,1.5801065995266488,1.5852429657317282,1.5537777404270159,1.558851629685906
2021-01-08,1.6334152206670791,1.6387248742947584,1.617900446471605,1.6231837295845746
2021-01-15,1.5749849916465668,1.5801047093206935,1.5560131895303253,1.561094378688615
2021-01-22,1.6445374471739664,1.6498832552157672,1.6049969406334754,1.610238087115207
2021-01-29,1.561288210597384,1.5663634048935813,1.5182564338255253,1.5232143276165069
2021-02-05,1.612144685838338,1.6173851965004153,1.5593412138619263,1.5644332707437454
2021-02-10,1.653280564398502,1.6586547932138458,1.590926734690735,1.5961219346609765
2021-02-19,1.6332622161138282,1.6385713723779647,1.578610325391568,1.5837653059049173
2021-02-26,1.621934401503668,1.6272067350596668,1.5481549584551928,1.553210486418056
2021-03-05,1.6340669423728857,1.6393787145167122,1.5478725353299165,1.552927141034966
2021-03-12,1.658423911010564,1.6638148590217694,1.5645881936272918,1.5696973846162487
2021-03-19,1.6446631716382494,1.6500093883656983,1.5562580609791696,1.5613400497695953
2021-03-25,1.6445314978762684,1.6498772865790123,1.556200487774833,1.5612822885589208
2021-03-26,1.6442724202661052,1.6496173667994147,1.5431434005231113,1.5481825631530826
2021-04-02,1.6600002156650746,1.66539628768371,1.5531982377481635,1.5582702346305948
2021-04-09,1.629728320797207,1.6350259896208876,1.5295533098362666,1.5345480937797826
2021-04-16,1.6198185992814347,1.6250840551147319,1.5177996240338665,1.5227560261042268
2021-04-23,1.6591655263414318,1.6645588850810806,1.5499510640568521,1.5550124572349788
