mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.0,4,br30,0.15,4,0.7295172859278997,0.5436185067924387,0.10392864794818202,-0.19117937790860284,-1.3573440844959468,5.284279643129553
4,4,0.5,0.0,4,br30,0.2,1,0.7792956900561824,0.4463610661610612,0.13111595227971673,-0.2937441506881022,-1.7200913531759534,12.478040537708706
4,4,0.5,0.0,4,br30,0.2,2,0.7907688723831715,0.5691510281048767,0.1366890323436074,-0.2401630245644042,-1.0740614416402334,8.765602548508005
4,4,0.5,0.0,4,br30,0.2,4,0.656840799680587,0.49932788900213504,0.1124217337441118,-0.22514611384670946,-1.3375248538004476,6.293840633440638
4,4,0.5,0.0,4,br40,none,1,0.9551895429427466,0.886011833463771,0.16315761157654585,-0.18414834363859245,-0.8891557704903037,12.689655172413794
4,4,0.5,0.0,4,br40,none,2,0.8966028932846637,0.7604374641441016,0.15891726019919483,-0.20898136624299757,-0.3204979566617576,9.0
4,4,0.5,0.0,4,br40,none,4,0.7383034040497182,0.5174325311577406,0.1301059204442101,-0.2514451887149457,-0.8819468880873002,6.172413793103448
4,4,0.5,0.0,4,br40,0.15,1,1.0784091050571998,1.0137574641360814,0.14905581401123968,-0.14703301261339097,-0.8861186769812779,9.213614450398097
4,4,0.5,0.0,4,br40,0.15,2,1.0456058578966638,0.922567966058694,0.148455051494639,-0.160915029522274,-0.37647987447843767,6.69059928762685
4,4,0.5,0.0,4,br40,0.15,4,0.837560724007799,0.7001747066184059,0.11503762506156212,-0.16429845861921066,-0.8736729645954613,4.6720112659689885
4,4,0.5,0.0,4,br40,0.2,1,0.9732259044632682,0.8958713472516169,0.1567935854321154,-0.17501797095434724,-0.9143357384066501,11.016898476814097
4,4,0.5,0.0,4,br40,0.2,2,0.9158283992196936,0.7637093732797081,0.15040501816732577,-0.19694012333699618,-0.33942650163103344,7.928855281969152
4,4,0.5,0.0,4,br40,0.2,4,0.745724381796786,0.5641479141848216,0.12121694863120491,-0.214867316856715,-0.8728464488516517,5.540281987462645
4,4,0.5,0.0,4,mkt_ma20,none,1,0.8521313220107749,0.7026855407375857,0.1434252232171025,-0.2041101102871048,-0.7153974756458752,12.24137931034483
4,4,0.5,0.0,4,mkt_ma20,none,2,0.667941463165849,0.483466529957257,0.11706560318495529,-0.24213796805190424,-1.0150059962204312,8.586206896551724
