trade_week,V1_BASE,V2_RED,V3_GOLD,V4_RED_GOLD,V5_HALF_RED,V6_HALF_GOLD,V7_ENS_GOLD,V8_A_vt10,V9_A_top5,V10_MA60_vt10
2022-03-11,2.042549766092463,2.009869336306407,2.538176209166821,2.4283385596489584,2.0247015235381434,2.287026019970787,2.5436285706567707,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-03-18,2.042549766092463,1.979329981006365,2.4836132545175285,2.3810828099027144,2.0060749017969863,2.260936943800788,2.489702448465441,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-03-25,2.042549766092463,2.019808343372982,2.5232996261235185,2.425577145777212,2.027546289171039,2.2790173257582933,2.529478224111443,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-04-01,2.042549766092463,2.103906659566135,2.4848803543967337,2.4596571580792026,2.0714693744011594,2.261667387407359,2.4909648782475515,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-04-08,2.042549766092463,2.1193238174098408,2.483578006202605,2.4688973513350754,2.0797941006211236,2.261074707274391,2.489659341099623,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-04-15,2.042549766092463,2.102633650672131,2.544137197229569,2.48833494959657,2.070811601183225,2.288641559368848,2.550366818478297,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-04-22,2.042549766092463,2.022425655591472,2.5493465900060817,2.439181186070614,2.027785354777943,2.2909846784467782,2.5555889670700105,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-04-29,2.042549766092463,1.9855055912099946,2.543486023132505,2.4107917128977965,2.0065148790285243,2.2883513627244256,2.549714049904333,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-05-06,2.042549766092463,1.9574464557893978,2.531113715288286,2.385125360265729,1.9900327925222185,2.2827857360101698,2.537311446999012,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-05-13,2.042549766092463,1.9939385592576568,2.5089737959881053,2.40067564614162,2.01171070965209,2.272801851906189,2.5151173154842272,1.7400879449199738,1.8716850914392653,1.7233998110011914
