base,gate,fallback,sharpe,ann_ret,max_dd,worst_year,sharpe_2018,sharpe_ex_best,pass_worst05,pass_bestout50,ann_tov
B2_base,breadth_gt40,cash,1.1844849680784535,0.19262726615892856,-0.16543496780083367,-1.5362268616828874,-1.5362268616828874,1.084253732299138,False,True,19.479559748427672
A2_base,breadth_gt50,bench,1.1818314414681064,0.2362037565875843,-0.2743288264879621,-1.1093475132251533,-1.1093475132251533,1.075809648287696,False,True,17.968299857983364
A7_base,breadth_gt40,bench,1.1796858267867667,0.23391673311451444,-0.24449858553364712,-0.9754017968280555,-0.9754017968280555,1.0896520855923504,False,True,17.902363562588757
A7_base,breadth_gt30,bench,1.1730791449953795,0.23250042494879453,-0.23454262720843455,-0.9397579561978456,-0.9397579561978456,1.0840540996169095,False,True,18.377104889429905
A7_base,breadth_z_gt0,bench,1.1510628262072802,0.2248957855848086,-0.19195480236286577,-0.7573769811480107,-0.7573769811480107,1.0621017258604313,False,True,17.122996551024546
A2_base,breadth_z_gt0,bench,1.1510628262072802,0.2248957855848086,-0.19195480236286577,-0.7573769811480107,-0.7573769811480107,1.0621017258604313,False,True,17.122996551024546
A2_base,breadth_gt40,bench,1.146551076514482,0.22783551235615063,-0.2743288264879621,-1.1093475132251533,-1.1093475132251533,1.0618924240560912,False,True,18.00126800568066
A2_base,breadth_gt30,bench,1.145852981365069,0.22909330114402127,-0.25162676915810744,-0.9688652918121863,-0.9688652918121863,1.0617880986024282,False,True,18.7265672550213
B6_base,breadth_gt30,cash,1.1263670775551786,0.1802500235227955,-0.1385197258804275,-0.7386758065660577,-0.7386758065660577,1.0300371802942974,False,True,19.111635220125784
B2_base,breadth_gt40,bench,1.1194083147574274,0.22541723801743951,-0.274450282339583,-1.0958360800810891,-1.0958360800810891,1.0448748031746655,False,True,21.271708257252993
B2_base,breadth_gt30,bench,1.106700251465466,0.22439043076689247,-0.2647918327824085,-1.0168570767256997,-1.0168570767256997,1.03472683989252,False,True,22.242290525461552
B2_base,breadth_z_gt0,bench,1.0753914098660833,0.20784313511539732,-0.19635270863925147,-0.48580966759118316,-0.48580966759118316,0.8468169177380456,False,True,19.289663217691214
B6_base,breadth_z_gt0,bench,1.0692047049394668,0.20480758124284426,-0.1950877829217067,-0.6064179478121833,-0.6064179478121833,0.9907787355015434,False,True,18.18588963278555
A7_base,mkt_above_ma50,bench,1.0652252616907092,0.21315510989138198,-0.28324372365799333,-1.1214363183432141,-1.1214363183432141,0.9932809455663901,False,True,16.538800973828362
A2_base,mkt_above_ma50,bench,1.0652252616907092,0.21315510989138198,-0.28324372365799333,-1.1214363183432141,-1.1214363183432141,0.9932809455663901,False,True,16.538800973828362
B6_base,mkt_above_ma50,cash,1.0570447395015505,0.1658241781517813,-0.12281545490840218,-0.10718366712714147,,0.9667928295339123,False,True,17.2311320754717
A7_base,breadth_gt50,cash,1.0505586446996904,0.16420334699740557,-0.2168377354849178,-1.0233358862322863,-1.0233358862322863,0.9485968696059389,False,True,15.064465408805031
B2_base,breadth_gt50,bench,1.0317471775757738,0.20802888855878598,-0.274450282339583,-1.0958360800810891,-1.0958360800810891,0.9626812601126526,False,True,21.238740109555685
B6_base,breadth_gt40,cash,1.0247996796649677,0.1598648300776604,-0.15109316049444332,-1.569093841831712,-1.569093841831712,0.93749761448863,False,True,17.639937106918243
B6_base,breadth_gt50,bench,1.0190597507048722,0.20019461300574748,-0.2743288264879621,-1.0773525530983306,-1.0773525530983306,0.950490686083624,False,True,19.399117468046256
A2_base,breadth_gt50,cash,1.0104948253553874,0.15845138747351695,-0.21683773548491692,-1.5081471932294104,-1.5081471932294104,0.9128693142356344,False,True,15.187106918238994
B2_base,mkt_above_ma50,bench,1.0104430287436583,0.2053507788853033,-0.28324372365799333,-1.1214363183432141,-1.1214363183432141,0.9530080949575883,False,True,19.80924122540069
B6_base,breadth_gt30,bench,0.9906079001814024,0.1954366049680074,-0.25676189976152486,-0.9614456709144805,-0.9614456709144805,0.9321029820078702,False,True,20.607070399675386
B6_base,breadth_gt40,bench,0.9775180486356715,0.19175233365878896,-0.2743288264879621,-1.0773525530983306,-1.0773525530983306,0.9201647853609703,False,True,19.432085615743556
B6_base,mkt_above_ma50,bench,0.8530798217518354,0.16823086459786762,-0.28324372365799333,-1.1214363183432141,-1.1214363183432141,0.8120007789899217,False,True,18.133140596469875
B2_base,breadth_gt50,cash,0.831333365940681,0.1320500055915259,-0.16543496780083333,-1.5362268616828874,-1.5362268616828874,0.7680428763319784,False,True,18.45754716981132
B6_base,breadth_gt50,cash,0.8197221508834356,0.12470983455604578,-0.17675684701152095,-1.569093841831712,-1.569093841831712,0.7534292397904087,False,True,16.617924528301888
A7_base,breadth_z_gt0,cash,0.5744712189639396,0.0813104752048337,-0.27877607962532613,-1.4043425048943468,-1.4043425048943468,0.527305695031287,False,True,13.204402515723269
A2_base,breadth_z_gt0,cash,0.5744712189639396,0.0813104752048337,-0.27877607962532613,-1.4043425048943468,-1.4043425048943468,0.527305695031287,False,True,13.204402515723269
B2_base,breadth_z_gt0,cash,0.47900779114968955,0.06625944738059952,-0.2555596554187727,-1.0209882402545953,-1.0209882402545953,0.4490860396839481,False,True,15.37106918238994
B6_base,breadth_z_gt0,cash,0.4679928261437626,0.06357965214724892,-0.24949223914618668,-1.2008806227868245,-1.2008806227868245,0.4198694563382534,False,True,14.267295597484278
