trade_week,V7_gold,V7_metals,V7_global,V7_full_def,V7_gold_half
2020-04-30,1.5034427343750774,1.4660722894375935,1.4292544939769616,1.3778198574556535,1.4538827488807453
2020-05-08,1.5247304055989932,1.4862462439813153,1.450093176627756,1.3983460292787169,1.4749652638109416
2020-05-15,1.5455026064268274,1.5059333926651748,1.4704364128875371,1.4183854840546273,1.4955442052267789
2020-05-22,1.5179044366803693,1.4797688576935892,1.443389608761073,1.3917422024853718,1.4681890196009872
2020-05-29,1.5264095108117581,1.487837887481606,1.4517009411257358,1.39992006696588,1.4766005938378814
2020-06-05,1.5511519655857107,1.5113116365200596,1.47591634570609,1.4237565162760994,1.5010991332793084
2020-06-12,1.5585402361406109,1.5183249183854572,1.4831556315502725,1.4308825922874187,1.508420789997756
2020-06-19,1.5887822062775505,1.5469055495000528,1.5128454560321345,1.4601934341052654,1.5384416622708794
2020-06-24,1.6038239575223332,1.5611222738226758,1.5276192685774261,1.474779486243607,1.5533784995468762
2020-07-03,1.6341237533100883,1.5897597017608478,1.5573921031494782,1.5041774161507457,1.58347677393089
2020-07-10,1.7036978681003674,1.6555658771508848,1.6258390501827604,1.5717567156511876,1.6526487520013218
2020-07-17,1.6301669034556365,1.5858698765888137,1.5535579982328342,1.500491480209351,1.5795961476561302
2020-07-24,1.6434023255635613,1.5984595734359162,1.5664600098388024,1.5131601512785366,1.5926596640545934
2020-07-31,1.6724347080688227,1.6260679691197233,1.5947672136168656,1.540960846087473,1.6213201404481599
2020-08-07,1.7113934171279908,1.6631329433736428,1.6327682046836864,1.578276567501929,1.659790688185912
2020-08-14,1.685756606892593,1.6387171738703745,1.6077480109912947,1.5537174126151172,1.6344660400628237
2020-08-21,1.6795335421887228,1.6327920690581406,1.601685842540713,1.547768983811418,1.628327298999901
2020-08-28,1.6925506932917265,1.6450887818319013,1.614408588981145,1.5603157711029763,1.6412060313285335
2020-09-04,1.6830069414197677,1.6360922259143098,1.605028611603859,1.551040744441697,1.6317226637301936
2020-09-11,1.6657300498904581,1.6198189573640123,1.5880643698325352,1.5342634139269207,1.6145667215280914
2020-09-18,1.6768082475002628,1.6302558299822638,1.5989420607800284,1.5450201349578179,1.6255672090608138
2020-09-25,1.6296046772471795,1.5859900578467832,1.5521415694700609,1.4984915076776395,1.578337366673079
2020-09-30,1.6336437483791648,1.5898857911677275,1.555917786653037,1.5022062253433046,1.5822140654727297
2020-10-09,1.674209651994598,1.6288786953108623,1.5939664046669517,1.5394299143540657,1.6212366829501352
2020-10-16,1.6922201519958182,1.6464050119759204,1.6110747898525177,1.5559489053569138,1.6387002970705313
2020-10-23,1.646332139143658,1.6017593698648267,1.5673874756523727,1.5137564370953605,1.5942634254891803
2020-10-30,1.6569613977012128,1.6121008520508788,1.5775070416515204,1.5235297435749502,1.604556511407549
2020-11-06,1.7141371351826293,1.6677286145553674,1.6319410970336712,1.5761012378684331,1.6599239460367523
2020-11-13,1.7315181464643734,1.6846390526233146,1.6484886567571597,1.5920825924720385,1.6767552463106525
2020-11-20,1.7541645075471446,1.7066722864983084,1.6700490830443486,1.612905289211508,1.6986853686330312
2020-11-27,1.751952376566022,1.704520046715014,1.6679430278250673,1.6108712965360605,1.6965432009429626
2020-12-04,1.7521495807375829,1.7047119117840748,1.6681307756927677,1.6110526202659596,1.696734168118175
2020-12-11,1.7336537110036871,1.6867167989233876,1.6505218170367792,1.5940461844419436,1.6788232691335387
2020-12-18,1.7666014554328282,1.7187725166613277,1.6818896563332244,1.6243407155584457,1.7107289719056822
2020-12-25,1.7860988085351728,1.737741998746205,1.7004520753824466,1.6422679873787889,1.7296096802426306
2020-12-31,1.8143263142931059,1.7652052734771477,1.7273260201606266,1.66822239082404,1.7569444318110874
2021-01-08,1.889201574694511,1.838053362308969,1.7986108736838147,1.7370681022797938,1.8294516047525264
2021-01-15,1.816936619503993,1.767744907327654,1.7298111564207395,1.6706224935869123,1.7594721806341445
2021-01-22,1.8741343166307425,1.823394034942399,1.7842661184427144,1.7232141791611757,1.8148608803887492
2021-01-29,1.7728485407297867,1.7248504684736232,1.6878371823645624,1.630084736073209,1.7167784800019237
2021-02-05,1.8208227107783939,1.771525786630757,1.733510902448844,1.6741956460158163,1.763235366105402
2021-02-10,1.8577047178372745,1.807409250836656,1.7686243492233698,1.7081076217775342,1.7989509021837975
