trade_week,A7_lam10_m4_t4_b,A2_lam10_m4_t4,B6_m4_K10_t8,B2_m4_K8_t4,B1_m4_K10_t4,A8_pure_m4,C1_rev1w,G_top3_1each,G_top2_1each,G_top3_mom_within
2023-01-06,1.8852159955574548,1.7188609705858853,1.220558242242601,1.3944828518024135,1.2318626895292284,1.3524782057750897,1.1368127051791463,2.1142371341219772,1.7037772195825773,2.1142371341219772
2023-01-13,1.8720543765894446,1.706860757768284,1.2122403519340192,1.3847472819811844,1.2234677613954328,1.3574596749917007,1.1671702582892527,2.1692020918910098,1.7229208414784818,2.1692020918910098
2023-01-20,1.9427644529245813,1.7713312432330943,1.2661474891549516,1.4371732451127277,1.2992654721620063,1.3908186771672009,1.2210375247786902,2.2228708571877607,1.7533999715182438,2.2228708571877607
2023-02-03,1.9886648210685642,1.8131812760803312,1.3122958652264023,1.489555145296848,1.346620928093922,1.3930937153008316,1.2160463236334274,2.282171551731079,1.7785759789667106,2.282171551731079
2023-02-10,2.0046538112077514,1.8277593674895358,1.3374774834178145,1.5181381881440092,1.3724612092061208,1.4040620940350501,1.2044990505686646,2.2726488460838494,1.7906815895377541,2.2726488460838494
2023-02-17,1.96687751942097,1.7933165271366127,1.3059256126318755,1.4822222547870079,1.3400840520064898,1.3776035309382768,1.1529451711751886,2.2282691538111057,1.7616628389487015,2.2282691538111057
2023-02-24,1.99694568912997,1.8207314246823287,1.3230975153682378,1.5014652837534173,1.3577051115653336,1.3986633154703425,1.1404111875926877,2.2561171635803707,1.7786639441478727,2.2561171635803707
2023-03-03,2.0640793279323706,1.8819410642264358,1.3630291760885442,1.5467801616046342,1.3986812446496466,1.4426176425369803,1.1421852327367776,2.3138257339675823,1.8298197910433287,2.3138257339675823
2023-03-10,2.008210125241478,1.8310018656468423,1.3056355051718862,1.4816492068657867,1.3397863563515926,1.4035697743733604,1.1104972571528282,2.189643018444365,1.7554787922929675,2.189643018444365
2023-03-17,2.103792180965999,1.918149579999151,1.3677780688621506,1.5629669981872527,1.4133182469207584,1.4619622785086261,1.1100634451916316,2.2254505877372095,1.812091184252768,2.2254505877372095
2023-03-24,2.2901536041937938,2.0880661187745253,1.50658942061465,1.6625510978937255,1.5033675092414411,1.5901729024297926,1.141026346494184,2.2716542411539105,1.8644824952045032,2.2716542411539105
2023-03-31,2.357872377666648,2.1498092595990954,1.529500353572554,1.6878337636430925,1.5262294461062769,1.6270164463756065,1.1450477284877343,2.30669785779804,1.9089013790480749,2.30669785779804
2023-04-07,2.536251962317662,2.312448292329817,1.6034530373982603,1.8034156138741233,1.6000239786866357,1.7501047528818552,1.2126489349561793,2.4265038288031855,2.041768123683048,2.4265038288031855
2023-04-14,2.4452676136919647,2.229492574706253,1.544719429642587,1.7373574863111199,1.541415975476055,1.709108943773188,1.2046806103429926,2.3743688143109503,2.0093194860206034,2.3743688143109503
2023-04-21,2.398901809756113,2.1872181770017036,1.5075924158968874,1.695600456498663,1.504368359571734,1.6748191992336379,1.1814176917931685,2.3045213713060964,1.9585414702122765,2.3045213713060964
2023-04-28,2.4616869669820693,2.244463053207989,1.4834942952885826,1.6826594112970858,1.4928868228297347,1.691868593239721,1.1282028078780928,2.407239175190757,2.099904273059024,2.407239175190757
2023-05-05,2.5223609766890447,2.299783073545197,1.4500647145679062,1.6786603287217703,1.4594944020699,1.7335686358633375,1.0916892836877317,2.466972398764184,2.1594876630238393,2.466972398764184
2023-05-12,2.4099173634879127,2.1972616974384076,1.4249040427181099,1.6554746562361464,1.4341701118170764,1.6562883722729522,1.0661820937096516,2.434612906328421,2.1284147929178583,2.434612906328421
2023-05-19,2.400659526745984,2.1888207897200047,1.4327257153589397,1.6400092181817985,1.4420426483455693,1.6499256448282795,1.072416487365495,2.425260200232325,2.1103736831010234,2.425260200232325
2023-05-26,2.325346957228557,2.1201539437760406,1.3873012187285836,1.58828614340627,1.3963227588242226,1.6130523484725328,1.0477929251472782,2.3719374316257524,2.078987204735932,2.3719374316257524
2023-06-02,2.398481518887915,2.1868349733946153,1.4051947771440316,1.6382393817935825,1.4143326780216834,1.6602537508324362,1.055752195889711,2.3199724456115853,2.0341333891034283,2.3199724456115853
2023-06-09,2.412238352812941,2.1993778782756905,1.3835359830879694,1.6129885838530198,1.413903422448129,1.6697763737685483,1.0324976256620022,2.2745741487314235,2.015854893332646,2.2745741487314235
2023-06-16,2.6403721243711464,2.4073806943604352,1.4707963992116584,1.7147207084600204,1.503314781138654,1.7950818902409649,1.0727040155431722,2.411566843952606,2.2101415624564353,2.411566843952606
2023-06-21,2.6749346285169646,2.438893337772095,1.4708870012513162,1.7148263363998992,1.503407386332338,1.7891500485874106,1.0548860755360971,2.3996236548176006,2.1714909115971204,2.3996236548176006
2023-06-30,2.5247801738051665,2.3019887961323464,1.4314224804827067,1.6586367387676197,1.4630703298683683,1.6884199259490944,1.0580786908118505,2.393982700195308,2.179415384091014,2.393982700195308
2023-07-07,2.4660924556233534,2.248479793199431,1.4273968865567646,1.660972761076092,1.4589557325964586,1.6491731377277983,1.0343840389803665,2.319326909770246,2.108246549300132,2.319326909770246
2023-07-14,2.4791303369595545,2.2603671872278803,1.4320355887953626,1.6663705296558176,1.463696993619618,1.6578920823981476,1.038621397778203,2.3283739278059334,2.1291252401531033,2.3283739278059334
2023-07-21,2.393588092058895,2.182373351803964,1.3954536406978157,1.62380239747802,1.426306241692726,1.6114863812590792,1.0308686841745143,2.3083440754747944,2.0764404651727375,2.3083440754747944
2023-07-28,2.4689330430181062,2.2510697217900466,1.4365165160682798,1.7074542209738846,1.5050969067881446,1.6354298602605737,1.0080046098230349,2.417166949958441,2.184770316449783,2.417166949958441
2023-08-04,2.5079466106978914,2.2866406584711054,1.4419036202845652,1.7141419488375085,1.5109920449402177,1.6742946296253012,1.037349602053857,2.4838783937294315,2.2701525652559864,2.4838783937294315
2023-08-11,2.391335811009422,2.180319816294053,1.3801157210352426,1.6406881974606258,1.446243595095235,1.6005540531784952,0.9985827093451245,2.3955054552585455,2.1774322839926152,2.3955054552585455
2023-08-18,2.3663260410990428,2.157516955781737,1.3674456637842247,1.6256259725500202,1.4329664554543435,1.5827356026050226,0.9469187460422622,2.370789395037819,2.1437332076622466,2.370789395037819
2023-08-25,2.3028572198180983,2.0996487433296953,1.3503811212205845,1.5936610773763624,1.4150842699174797,1.5404197749862685,0.9032619487069792,2.3255570098183975,2.0903546134566775,2.3255570098183975
2023-09-01,2.330392432739147,2.12475419698503,1.3818272606807886,1.6448462163269322,1.44803714270316,1.5392778272885068,0.9447715597544812,2.316734590352604,2.108307703260528,2.316734590352604
2023-09-08,2.3450258583938726,2.1380963414836716,1.374818632945837,1.6367776975099744,1.440692698452878,1.5489435416682595,0.9382372156004174,2.3153936867557,2.122944204379208,2.3153936867557
2023-09-15,2.3937219553465323,2.182495402741924,1.366699259587612,1.6271112521243576,1.4321842875011417,1.5600609648540171,0.9115167764952662,2.3404441134095135,2.137979482598619,2.3404441134095135
2023-09-22,2.36688693007983,2.158028350858046,1.359881873043351,1.6189948751830288,1.4250402477118334,1.540462847993506,0.932133328392322,2.328600450544449,2.1313124522331934,2.328600450544449
2023-09-28,2.3669300588374087,2.158067673852486,1.366340548579703,1.6217511132461266,1.4318083889516424,1.5574397756212917,0.9227617066521867,2.343587846170392,2.1172472169563807,2.343587846170392
2023-10-13,2.390620054336758,2.179667219343901,1.363630644835138,1.626038120242872,1.428968640897065,1.5752654875564116,0.9043278711729864,2.366876711777813,2.1124752422718536,2.366876711777813
2023-10-20,2.242278188553586,2.044415320357553,1.3052051011476422,1.5176626927893226,1.3334897311946265,1.4761305539654939,0.8583973054566556,2.2456280611890285,1.9780926064076734,2.2456280611890285
2023-10-27,2.2467685426636743,2.0485094371283257,1.3182470771096306,1.5207019423102264,1.3468143351243131,1.4969672978458437,0.8472932489999326,2.2518746608034985,1.9872155123986233,2.2518746608034985
2023-11-03,2.323873552159103,2.1188105547565774,1.3392333223988535,1.5273006547722714,1.3609863571902057,1.5410324991777857,0.84435267813658,2.3046144198783227,2.0539682527453946,2.3046144198783227
2023-11-10,2.341138703787852,2.1345521967518906,1.3539068487302084,1.5216986789173597,1.375898224162776,1.5479235985821103,0.8618141921167557,2.3244065375794,2.09326207784163,2.3244065375794
2023-11-17,2.332240527487357,2.1264392123573406,1.3438683601417212,1.5213378307635426,1.3656966813940605,1.5457182785704422,0.8606883380935053,2.3053425670806695,2.082797640380293,2.3053425670806695
