ts_code,industry,size_bin,total_mv,ag_2y_q,nsi_2y_q,ag_orth_nsi,g4,signal,weight
000570.SZ,农用机械,s4,360608.8711,-0.031141951305291612,-0.0,0.33760179412531366,0.6273884796103671,0.7228301987184412,0.0013679890560875513
603719.SH,食品,s3,514082.0,0.06629056150795143,-0.0,0.49757939882719093,0.4664201264848805,0.7220800800201944,0.0013679890560875513
600707.SH,元器件,s5,2422163.0691,0.021618265784757434,-0.0,0.4957758100933013,0.4665763570660387,0.720832826808757,0.0013679890560875513
600469.SH,汽车配件,s3,382232.2564,-0.014293458672449567,-0.0,0.4914208875829727,0.4703888822138003,0.7204221651373924,0.0013679890560875513
300805.SZ,广告包装,s4,447587.5396,0.09041855829002834,-0.0,0.4950432094804571,0.4664201264848805,0.7201598720178957,0.0013679890560875513
600118.SH,航空,s5,3086296.6424,0.03717845918971919,-0.0,0.494436856902866,0.4664201264848805,0.7197007883642227,0.0013679890560875513
000901.SZ,汽车配件,s4,811770.8299,-0.014621453706610124,-0.0,0.4904615270692319,0.4703888822138003,0.7196958109564844,0.0013679890560875513
600794.SH,仓储物流,s3,549669.6879,0.08105913968847375,-0.0,0.4940271255262835,0.4664201264848805,0.7193905711995935,0.0013679890560875513
000530.SZ,机械基件,s4,426665.5285,-0.0034701897090971537,-0.0,0.48691485946426477,0.47345962819436116,0.719335479614178,0.0013679890560875513
600468.SH,电气设备,s3,469901.6587,0.0033371658917960537,-0.0,0.489994143977328,0.46838759274873404,0.7178267214876504,0.0013679890560875513
301025.SZ,出版业,s2,406714.3504,0.09407698321255437,-0.0,0.49085322074647053,0.4664201264848805,0.7169875339955378,0.0013679890560875513
002918.SZ,陶瓷,s2,365778.2784,0.24252863013028111,-1.1780454091199483e-05,0.5176861111145387,0.43939770833508374,0.7168440380993809,0.0013679890560875513
600641.SH,半导体,s3,1344760.2344,-0.024044971988694708,0.028499444099490134,0.3270513023409307,0.6299642641608286,0.7167923622034799,0.0013679890560875513
002328.SZ,汽车配件,s3,399005.09,-0.015945046041414855,-0.0,0.48659012021835873,0.4703888822138003,0.7167646786950961,0.0013679890560875513
000823.SZ,元器件,s3,513900.4884,0.019641945248634957,-3.4693437565703724e-06,0.48999979018054185,0.4665624643642725,0.7164491491668096,0.0013679890560875513
002985.SZ,航空,s4,886712.8192,0.035483238746713386,-0.0,0.4894784661172612,0.4664201264848805,0.7159466752585494,0.0013679890560875513
688595.SH,半导体,s2,517717.0269,0.003221328334229262,-0.0018940132296309867,0.44681493153548824,0.5082561637402937,0.7153201577668632,0.0013679890560875513
600817.SH,专用机械,s4,569060.3534,0.007607868900907247,0.017083464000717405,0.41881564045744246,0.5353851798559256,0.714661252330966,0.0013679890560875513
003040.SZ,通信设备,s3,560280.206,0.1001428574867015,-0.0,0.4866813585643951,0.4664201264848805,0.7138289200076566,0.0013679890560875513
002039.SZ,水力发电,s3,686230.7922,0.07143512552941422,-0.0,0.48640602552921686,0.4664201264848805,0.713620458956384,0.0013679890560875513
300386.SZ,IT设备,s4,640025.364,0.10737513308710231,-0.0,0.4860600122755223,0.4664201264848805,0.7133584842660868,0.0013679890560875513
600604.SH,园区开发,s2,874833.3435,0.05751244891484286,-0.0,0.48567295239901165,0.4664201264848805,0.7130654322220028,0.0013679890560875513
000727.SZ,元器件,s4,1105214.3431,0.017950627193092403,-0.0,0.48504824632844035,0.4665763570660387,0.7127107385218615,0.0013679890560875513
