rebal_date,phase,top_n
2019-08-16,3,
2019-09-17,3,
2019-10-23,3,
2019-11-21,3,159949.SZ;512010.SS;159915.SZ
2019-12-20,3,510300.SS;159949.SZ;510180.SS
2020-01-21,3,512010.SS;159915.SZ;159949.SZ
2020-02-27,3,518880.SS;159915.SZ;510500.SS
2020-03-27,3,512290.SS;518880.SS;512010.SS
2020-04-28,3,512010.SS;518880.SS;512290.SS
2020-06-01,3,512290.SS;512010.SS;159949.SZ
2020-07-02,3,510050.SS;510180.SS;510300.SS
2020-07-31,3,512010.SS;512290.SS;518880.SS
2020-08-31,3,512690.SS;510300.SS;510180.SS
2020-09-29,3,512690.SS;510300.SS;510050.SS
2020-11-05,3,510300.SS;512690.SS;159949.SZ
2020-12-04,3,510300.SS;510180.SS;512690.SS
2021-01-05,3,159915.SZ;159949.SZ;510050.SS
2021-02-03,3,512010.SS;159949.SZ;510300.SS
2021-03-11,3,515220.SS;515210.SS;159980.SZ
2021-04-12,3,515210.SS;515220.SS;510880.SS
2021-05-14,3,512690.SS;510880.SS;159980.SZ
2021-06-15,3,510880.SS;515220.SS;159949.SZ
2021-07-14,3,510500.SS;159915.SZ;159949.SZ
2021-08-12,3,510500.SS;515210.SS;515220.SS
2021-09-10,3,159980.SZ;510500.SS;515210.SS
2021-10-20,3,159980.SZ;159949.SZ;515220.SS
2021-11-18,3,512660.SS;159949.SZ;159915.SZ
2021-12-17,3,159949.SZ;159915.SZ;512660.SS
2022-01-18,3,159980.SZ;510500.SS;515880.SS
2022-02-23,3,159980.SZ;515220.SS;518880.SS
2022-03-24,3,159980.SZ;515220.SS;518880.SS
2022-04-26,3,159980.SZ;518880.SS;515220.SS
2022-05-30,3,515220.SS;510880.SS;518880.SS
2022-06-29,3,515220.SS;510500.SS;510180.SS
2022-07-28,3,512660.SS;510500.SS;515220.SS
2022-08-26,3,510500.SS;515220.SS;510880.SS
2022-09-27,3,515220.SS;510880.SS;512660.SS
2022-11-02,3,518880.SS;512660.SS;512290.SS
2022-12-01,3,518880.SS;159980.SZ;510880.SS
2022-12-30,3,518880.SS;159980.SZ;512690.SS
2023-02-07,3,512980.SS;159980.SZ;512690.SS
2023-03-08,3,510880.SS;515880.SS;512980.SS
