expression,year,sharpe_net
m5_R4_cap_blend_ew_invvol_EXCESS,2022,-0.177
m5_R4_cap_blend_ew_invvol_EXCESS,2023,1.143
m5_R4_cap_blend_ew_invvol_EXCESS,2024,1.096
m5_R4_cap_blend_ew_invvol_EXCESS,2025,-0.437
m5_R4_cap_blend_ew_invvol_EXCESS,2026,-0.91
m6_R4_lowbeta_bot30_ew,2019,0.369
m6_R4_lowbeta_bot30_ew,2020,1.237
m6_R4_lowbeta_bot30_ew,2021,0.57
m6_R4_lowbeta_bot30_ew,2022,-1.193
m6_R4_lowbeta_bot30_ew,2023,0.325
m6_R4_lowbeta_bot30_ew,2024,1.114
m6_R4_lowbeta_bot30_ew,2025,1.386
m6_R4_lowbeta_bot30_ew,2026,0.62
m6_R4_lowbeta_bot30_ew_EXCESS,2019,-2.197
m6_R4_lowbeta_bot30_ew_EXCESS,2020,0.052
m6_R4_lowbeta_bot30_ew_EXCESS,2021,0.263
m6_R4_lowbeta_bot30_ew_EXCESS,2022,0.3
m6_R4_lowbeta_bot30_ew_EXCESS,2023,1.511
m6_R4_lowbeta_bot30_ew_EXCESS,2024,0.223
m6_R4_lowbeta_bot30_ew_EXCESS,2025,-0.601
m6_R4_lowbeta_bot30_ew_EXCESS,2026,-0.81
m7_R4_lowvol_lowbeta_combo_bot30,2019,0.385
m7_R4_lowvol_lowbeta_combo_bot30,2020,1.02
m7_R4_lowvol_lowbeta_combo_bot30,2021,0.492
m7_R4_lowvol_lowbeta_combo_bot30,2022,-1.311
m7_R4_lowvol_lowbeta_combo_bot30,2023,0.229
m7_R4_lowvol_lowbeta_combo_bot30,2024,1.365
m7_R4_lowvol_lowbeta_combo_bot30,2025,1.307
m7_R4_lowvol_lowbeta_combo_bot30,2026,0.431
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2019,-2.183
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2020,-0.517
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2021,0.142
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2022,-0.086
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2023,1.464
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2024,0.704
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2025,-0.752
m7_R4_lowvol_lowbeta_combo_bot30_EXCESS,2026,-1.035
m8_R4_ew_baseline_all,2019,1.793
m8_R4_ew_baseline_all,2020,1.075
m8_R4_ew_baseline_all,2021,0.304
m8_R4_ew_baseline_all,2022,-1.176
m8_R4_ew_baseline_all,2023,-0.346
m8_R4_ew_baseline_all,2024,0.659
m8_R4_ew_baseline_all,2025,1.302
m8_R4_ew_baseline_all,2026,0.872
m8_R4_ew_baseline_all_EXCESS,2019,0.712
m8_R4_ew_baseline_all_EXCESS,2020,-1.382
m8_R4_ew_baseline_all_EXCESS,2021,-2.678
m8_R4_ew_baseline_all_EXCESS,2022,-0.829
m8_R4_ew_baseline_all_EXCESS,2023,-0.332
m8_R4_ew_baseline_all_EXCESS,2024,-1.447
m8_R4_ew_baseline_all_EXCESS,2025,-1.067
m8_R4_ew_baseline_all_EXCESS,2026,-2.021
