trade_date,q5,q1,ls,all,tov_q5,tov_q1,ls_after,q5_excess,q5_excess_after
2020-05-26,0.09149053571166012,0.04327099516022269,0.04821954055143743,0.05782679675304355,0.2615606936416185,0.2947976878612717,0.04794136136068598,0.03366373895861657,0.033532958611795755
2020-06-23,0.07749177378893195,0.07997049958893196,-0.0024787258000000117,0.08331281669071681,0.20893371757925072,0.29250720461095103,-0.0027294462610951125,-0.0058210429017848675,-0.005925509760574493
2020-07-23,0.043519271453228474,0.07663049884057715,-0.03311122738734868,0.06687637299254233,0.18965517241379315,0.23563218390804597,-0.0333238710655096,-0.023357101539313856,-0.023451929125520753
2020-08-20,-0.0433884857190841,0.005088933822911151,-0.048477419541995255,-0.016963002567260195,0.23931623931623935,0.2435897435897436,-0.04871887253344825,-0.026425483151823907,-0.026545141271482026
2020-09-17,-0.03916172946540072,-0.01822138821083865,-0.020940341254562067,-0.02748622497657012,0.24011299435028244,0.2143864598025388,-0.02116759098163848,-0.011675504488830597,-0.011795560986005739
2020-10-23,0.00471639906204311,0.018456364406043285,-0.013739965344000175,0.017093585474885934,0.2391608391608392,0.26433566433566436,-0.013991713595748427,-0.012377186412842824,-0.012496766832423244
2020-11-20,-0.025697137075797485,-0.05106225653943733,0.025365119463639844,-0.039320597856142545,0.21418636995827534,0.24478442280945756,0.025135634067255976,0.01362346078034506,0.013516367595365923
2020-12-18,-0.00951551730032557,-0.06225892817855967,0.0527434108782341,-0.044414524066664934,0.2110344827586207,0.2303448275862069,0.05252272122306169,0.03489900676633936,0.03479348952496005
2021-01-18,-0.00963912712934075,-0.014923717170314583,0.0052845900409738324,-0.011134944572377351,0.1746905089408528,0.22971114167812934,0.005082389215664341,0.0014958174430366004,0.001408472188566174
2021-02-22,-0.053839859583702056,0.025378097331360695,-0.07921795691506275,0.003397102916072922,0.2527322404371585,0.3019125683060109,-0.07949527931943434,-0.05723696249977498,-0.05736332861999356
2021-03-22,0.03292536551708386,0.02661813194366687,0.00630723357341699,0.020519965203633344,0.21845318860244234,0.2727272727272727,0.0060616433427521325,0.012405400313450516,0.012296173719149294
2021-04-20,0.00925894401320383,0.004775178677205025,0.004483765335998805,0.003645256541691351,0.1978465679676985,0.24091520861372817,0.0042643844477080915,0.005613687471512479,0.00551476418752863
2021-05-21,0.06584306765586123,0.07390183113803166,-0.008058763482170425,0.052087211439354415,0.18085106382978722,0.28021248339973437,-0.008289295255785187,0.013755856216506816,0.013665430684591922
2021-06-21,0.03469285685109519,-0.004727074603236009,0.039419931454331196,0.013415994099160715,0.2295514511873351,0.2806324110671937,0.03916483952320393,0.021276862751934474,0.021162087026340808
2021-07-19,-0.005359762344450058,0.008570594368459304,-0.013930356712909361,0.004717990053096025,0.24191461836998707,0.26002587322121606,-0.014181326958704964,-0.010077752397546082,-0.010198709706731075
