year,sharpe_excess,ann_ret_excess,sharpe_abs,ann_ret_abs,invested_share,n_days,name
2021,1.8523118441243154,0.08865578223701363,1.936355842523736,0.3477864176513203,1.0,243,r2_q5_ew_q_combo
2022,0.8261376262882004,0.034719726613845175,-0.023894638069493046,-0.00599847490518545,1.0,242,r2_q5_ew_q_combo
2023,1.357275597190564,0.039871700786841824,0.8974162020838283,0.13407431384547938,1.0,242,r2_q5_ew_q_combo
2024,0.15982807911888033,0.011846421157230691,0.23202837209185065,0.0907495460823794,1.0,242,r2_q5_ew_q_combo
2025,-0.9116941758269178,-0.047284730424945236,0.9649405700224251,0.3297735589311914,1.0,68,r2_q5_ew_q_combo
2020,-0.8102082277800693,-0.17004676627911713,0.28123591347935223,0.013073141555752428,0.08695652173913043,207,r2_q5_ew_q_all
2021,-0.8181946059203674,-0.07762320110510464,1.374041478644202,0.17910764417008637,0.7407407407407407,243,r2_q5_ew_q_all
2022,-2.470300703527424,-0.08817494509615088,-0.5438448445856805,-0.1288931466151815,1.0,242,r2_q5_ew_q_all
2023,-2.464097997289317,-0.07887063959605672,0.11137464567178636,0.015331973462580787,1.0,242,r2_q5_ew_q_all
2024,0.6867368046408457,0.08674867068829112,0.5127281345218186,0.16565179561343987,0.8264462809917356,242,r2_q5_ew_q_all
2025,-1.179483415063075,-0.3770582893561366,,0.0,0.0,68,r2_q5_ew_q_all
