ts_code,industry,size_bin,total_mv,ag_2y_q,nsi_2y_q,ag_orth_nsi,g4,signal,weight
300215.SZ,电气设备,s3,442714.6645,0.21225772867970621,0.012169360869816855,1.0850504120053124,0.5171187975853188,1.205253205936158,0.01
002542.SZ,建筑工程,s4,568926.7725,0.2860434096983332,-0.0002669798093763895,1.1283864519920184,0.46535102779373877,1.1988693469922702,0.01
000488.SZ,造纸,s4,526520.6598,0.246636670664515,0.012848762554022291,1.0669933289619467,0.5178719394941962,1.192151989230654,0.01
600315.SH,日用化工,s5,1398230.0384,0.18949802219683967,0.009791539949948296,1.0767759098253817,0.5056295429917076,1.1902896055405825,0.01
300053.SZ,半导体,s2,816736.7066,0.2159252286472207,-0.0,1.0664642597290954,0.515840583961184,1.1902134320282802,0.01
600289.SH,软件服务,s3,423435.9383,0.3537566545122472,-0.0,1.1030912929119934,0.4779403588433539,1.1892494687717245,0.01
688220.SH,半导体,s5,3666407.2921,0.21460333297016168,-0.0,1.062597815473009,0.515840583961184,1.1872860570629447,0.01
300370.SZ,电器仪表,s3,416390.0759,0.21933786873762628,0.00770204163157082,1.0454378579508226,0.5268267814929255,1.1826117596359047,0.01
688197.SH,化学制药,s3,442886.2035,0.2896379044756233,-0.0,1.0997157730208535,0.4664201264848805,1.1779715479387227,0.01
600185.SH,旅游服务,s5,1247873.8363,0.3537618709405711,-0.0,1.0986013741720464,0.4664201264848805,1.1771278106247134,0.01
300204.SZ,生物制药,s2,433817.4799,0.31132974798343827,-0.005080386278913775,1.1183026549392912,0.4460898957954893,1.1766516179953634,0.01
002123.SZ,互联网,s4,1058013.913,0.3706931164356778,0.0020023877448048003,1.0895577097604918,0.47443852353943494,1.1763515568383225,0.01
300271.SZ,软件服务,s3,536639.9049,0.3384782853271971,0.01004843761575667,1.0451748579470561,0.5181785009265257,1.1758648216426515,0.01
688185.SH,生物制药,s4,1335487.1049,0.3061156168144278,-0.0,1.0963635919303878,0.46643388485581594,1.1754439503721792,0.01
002514.SZ,机械基件,s4,411859.599,0.19871107792884715,-0.0,1.0782796808442874,0.47345962819436116,1.1670715541128214,0.01
600500.SH,塑料,s5,1309811.1114,0.2718782805719383,0.0013266335975774147,1.079448136415012,0.47173252162857165,1.1666485864378735,0.01
300073.SZ,电气设备,s5,1899377.9025,0.20566618514142226,-0.0,1.0817911275772816,0.46838759274873404,1.16588999606466,0.01
600610.SH,化工原料,s5,1205183.9306,0.21091785835075244,-0.0,1.080296606152937,0.46756596747061185,1.164136387471397,0.01
000933.SZ,铝,s5,3790155.7088,0.16327917496042557,0.000726810187789971,1.071538927444284,0.46933057811150264,1.158841772823784,0.01
002726.SZ,食品,s4,638862.9379,0.26296170146848574,-2.944320380132528e-05,1.0728662768890838,0.4663022235965664,1.1575539022821648,0.01
